id,name,amount,event_time,source_file
90,user_90,967,2026-04-08T16:43:16.647999,input2
91,user_91,444,2026-04-08T16:43:17.647999,input2
92,user_92,909,2026-04-08T16:43:18.647999,input2
93,user_93,524,2026-04-08T16:43:19.647999,input2
94,user_94,223,2026-04-08T16:43:20.647999,input2
95,user_95,907,2026-04-08T16:43:21.647999,input2
96,user_96,408,2026-04-08T16:43:22.647999,input2
97,user_97,153,2026-04-08T16:43:23.647999,input2
98,user_98,918,2026-04-08T16:43:24.647999,input2
99,user_99,110,2026-04-08T16:43:25.647999,input2
100,user_100,499,2026-04-08T16:43:26.647999,input2
101,user_101,139,2026-04-08T16:43:27.647999,input2
102,user_102,323,2026-04-08T16:43:28.647999,input2
103,user_103,391,2026-04-08T16:43:29.647999,input2
104,user_104,403,2026-04-08T16:43:30.647999,input2
105,user_105,775,2026-04-08T16:43:31.647999,input2
106,user_106,366,2026-04-08T16:43:32.647999,input2
107,user_107,599,2026-04-08T16:43:33.647999,input2
108,user_108,502,2026-04-08T16:43:34.647999,input2
109,user_109,242,2026-04-08T16:43:35.647999,input2
110,user_110,698,2026-04-08T16:43:36.647999,input2
111,user_111,652,2026-04-08T16:43:37.647999,input2
112,user_112,828,2026-04-08T16:43:38.647999,input2
113,user_113,507,2026-04-08T16:43:39.647999,input2
114,user_114,284,2026-04-08T16:43:40.647999,input2
115,user_115,616,2026-04-08T16:43:41.647999,input2
116,user_116,819,2026-04-08T16:43:42.647999,input2
117,user_117,315,2026-04-08T16:43:43.647999,input2
118,user_118,733,2026-04-08T16:43:44.647999,input2
119,user_119,479,2026-04-08T16:43:45.647999,input2
120,user_120,822,2026-04-08T16:43:46.647999,input2
121,user_121,660,2026-04-08T16:43:47.647999,input2
122,user_122,876,2026-04-08T16:43:48.647999,input2
123,user_123,390,2026-04-08T16:43:49.647999,input2
124,user_124,398,2026-04-08T16:43:50.647999,input2
125,user_125,451,2026-04-08T16:43:51.647999,input2
126,user_126,102,2026-04-08T16:43:52.647999,input2
127,user_127,219,2026-04-08T16:43:53.647999,input2
128,user_128,739,2026-04-08T16:43:54.647999,input2
129,user_129,870,2026-04-08T16:43:55.647999,input2
130,user_130,340,2026-04-08T16:43:56.647999,input2
131,user_131,677,2026-04-08T16:43:57.647999,input2
132,user_132,188,2026-04-08T16:43:58.647999,input2
133,user_133,709,2026-04-08T16:43:59.647999,input2
134,user_134,461,2026-04-08T16:44:00.647999,input2
135,user_135,838,2026-04-08T16:44:01.647999,input2
136,user_136,159,2026-04-08T16:44:02.647999,input2
137,user_137,253,2026-04-08T16:44:03.647999,input2
138,user_138,326,2026-04-08T16:44:04.647999,input2
139,user_139,600,2026-04-08T16:44:05.647999,input2
140,user_140,612,2026-04-08T16:44:06.647999,input2
141,user_141,221,2026-04-08T16:44:07.647999,input2
142,user_142,332,2026-04-08T16:44:08.647999,input2
143,user_143,320,2026-04-08T16:44:09.647999,input2
144,user_144,549,2026-04-08T16:44:10.647999,input2
145,user_145,944,2026-04-08T16:44:11.647999,input2
146,user_146,699,2026-04-08T16:44:12.647999,input2
147,user_147,739,2026-04-08T16:44:13.647999,input2
148,user_148,892,2026-04-08T16:44:14.647999,input2
149,user_149,252,2026-04-08T16:44:15.647999,input2
150,user_150,831,2026-04-08T16:44:16.647999,input2
151,user_151,833,2026-04-08T16:44:17.647999,input2
152,user_152,230,2026-04-08T16:44:18.647999,input2
153,user_153,232,2026-04-08T16:44:19.647999,input2
154,user_154,955,2026-04-08T16:44:20.647999,input2
155,user_155,166,2026-04-08T16:44:21.647999,input2
156,user_156,789,2026-04-08T16:44:22.647999,input2
157,user_157,749,2026-04-08T16:44:23.647999,input2
158,user_158,405,2026-04-08T16:44:24.647999,input2
159,user_159,584,2026-04-08T16:44:25.647999,input2
160,user_160,423,2026-04-08T16:44:26.647999,input2
161,user_161,468,2026-04-08T16:44:27.647999,input2
162,user_162,225,2026-04-08T16:44:28.647999,input2
163,user_163,689,2026-04-08T16:44:29.647999,input2
164,user_164,880,2026-04-08T16:44:30.647999,input2
165,user_165,513,2026-04-08T16:44:31.647999,input2
166,user_166,486,2026-04-08T16:44:32.647999,input2
167,user_167,548,2026-04-08T16:44:33.647999,input2
168,user_168,801,2026-04-08T16:44:34.647999,input2
169,user_169,309,2026-04-08T16:44:35.647999,input2
170,user_170,568,2026-04-08T16:44:36.647999,input2
171,user_171,119,2026-04-08T16:44:37.647999,input2
172,user_172,768,2026-04-08T16:44:38.647999,input2
173,user_173,335,2026-04-08T16:44:39.647999,input2
174,user_174,380,2026-04-08T16:44:40.647999,input2
175,user_175,797,2026-04-08T16:44:41.647999,input2
176,user_176,518,2026-04-08T16:44:42.647999,input2
177,user_177,804,2026-04-08T16:44:43.647999,input2
178,user_178,707,2026-04-08T16:44:44.647999,input2
179,user_179,861,2026-04-08T16:44:45.647999,input2
180,user_180,291,2026-04-08T16:44:46.647999,input2
181,user_181,499,2026-04-08T16:44:47.647999,input2
182,user_182,391,2026-04-08T16:44:48.647999,input2
183,user_183,577,2026-04-08T16:44:49.647999,input2
184,user_184,935,2026-04-08T16:44:50.647999,input2
185,user_185,873,2026-04-08T16:44:51.647999,input2
186,user_186,221,2026-04-08T16:44:52.647999,input2
187,user_187,552,2026-04-08T16:44:53.647999,input2
188,user_188,818,2026-04-08T16:44:54.647999,input2
189,user_189,545,2026-04-08T16:44:55.647999,input2
190,user_190,194,2026-04-08T16:44:56.647999,input2
191,user_191,420,2026-04-08T16:44:57.647999,input2
192,user_192,712,2026-04-08T16:44:58.647999,input2
193,user_193,469,2026-04-08T16:44:59.647999,input2
194,user_194,528,2026-04-08T16:45:00.647999,input2
195,user_195,851,2026-04-08T16:45:01.647999,input2
196,user_196,885,2026-04-08T16:45:02.647999,input2
197,user_197,684,2026-04-08T16:45:03.647999,input2
198,user_198,920,2026-04-08T16:45:04.647999,input2
199,user_199,178,2026-04-08T16:45:05.647999,input2
200,user_200,995,2026-04-08T16:45:06.647999,input2
201,user_201,747,2026-04-08T16:45:07.647999,input2
202,user_202,574,2026-04-08T16:45:08.647999,input2
203,user_203,776,2026-04-08T16:45:09.647999,input2
204,user_204,710,2026-04-08T16:45:10.647999,input2
205,user_205,434,2026-04-08T16:45:11.647999,input2
206,user_206,813,2026-04-08T16:45:12.647999,input2
207,user_207,535,2026-04-08T16:45:13.647999,input2
208,user_208,933,2026-04-08T16:45:14.647999,input2
209,user_209,304,2026-04-08T16:45:15.647999,input2
210,user_210,457,2026-04-08T16:45:16.647999,input2
211,user_211,517,2026-04-08T16:45:17.647999,input2
212,user_212,666,2026-04-08T16:45:18.647999,input2
213,user_213,641,2026-04-08T16:45:19.647999,input2
214,user_214,130,2026-04-08T16:45:20.647999,input2
215,user_215,878,2026-04-08T16:45:21.647999,input2
216,user_216,734,2026-04-08T16:45:22.647999,input2
217,user_217,132,2026-04-08T16:45:23.647999,input2
218,user_218,738,2026-04-08T16:45:24.647999,input2
219,user_219,836,2026-04-08T16:45:25.647999,input2
220,user_220,326,2026-04-08T16:45:26.647999,input2
221,user_221,386,2026-04-08T16:45:27.647999,input2
222,user_222,949,2026-04-08T16:45:28.647999,input2
223,user_223,355,2026-04-08T16:45:29.647999,input2
224,user_224,265,2026-04-08T16:45:30.647999,input2
225,user_225,384,2026-04-08T16:45:31.647999,input2
226,user_226,976,2026-04-08T16:45:32.647999,input2
227,user_227,408,2026-04-08T16:45:33.647999,input2
228,user_228,272,2026-04-08T16:45:34.647999,input2
229,user_229,371,2026-04-08T16:45:35.647999,input2
230,user_230,658,2026-04-08T16:45:36.647999,input2
231,user_231,929,2026-04-08T16:45:37.647999,input2
232,user_232,655,2026-04-08T16:45:38.647999,input2
233,user_233,851,2026-04-08T16:45:39.647999,input2
234,user_234,770,2026-04-08T16:45:40.647999,input2
235,user_235,957,2026-04-08T16:45:41.647999,input2
236,user_236,338,2026-04-08T16:45:42.647999,input2
237,user_237,242,2026-04-08T16:45:43.647999,input2
238,user_238,421,2026-04-08T16:45:44.647999,input2
239,user_239,710,2026-04-08T16:45:45.647999,input2
240,user_240,215,2026-04-08T16:45:46.647999,input2
241,user_241,501,2026-04-08T16:45:47.647999,input2
242,user_242,252,2026-04-08T16:45:48.647999,input2
243,user_243,539,2026-04-08T16:45:49.647999,input2
244,user_244,963,2026-04-08T16:45:50.647999,input2
245,user_245,990,2026-04-08T16:45:51.647999,input2
246,user_246,714,2026-04-08T16:45:52.647999,input2
247,user_247,186,2026-04-08T16:45:53.647999,input2
248,user_248,146,2026-04-08T16:45:54.647999,input2
249,user_249,703,2026-04-08T16:45:55.647999,input2
250,user_250,585,2026-04-08T16:45:56.647999,input2
251,user_251,226,2026-04-08T16:45:57.647999,input2
252,user_252,193,2026-04-08T16:45:58.647999,input2
253,user_253,135,2026-04-08T16:45:59.647999,input2
254,user_254,948,2026-04-08T16:46:00.647999,input2
255,user_255,693,2026-04-08T16:46:01.647999,input2
256,user_256,665,2026-04-08T16:46:02.647999,input2
257,user_257,716,2026-04-08T16:46:03.647999,input2
258,user_258,205,2026-04-08T16:46:04.647999,input2
259,user_259,308,2026-04-08T16:46:05.647999,input2
260,user_260,867,2026-04-08T16:46:06.647999,input2
261,user_261,270,2026-04-08T16:46:07.647999,input2
262,user_262,811,2026-04-08T16:46:08.647999,input2
263,user_263,260,2026-04-08T16:46:09.647999,input2
264,user_264,516,2026-04-08T16:46:10.647999,input2
265,user_265,107,2026-04-08T16:46:11.647999,input2
266,user_266,827,2026-04-08T16:46:12.647999,input2
267,user_267,497,2026-04-08T16:46:13.647999,input2
268,user_268,448,2026-04-08T16:46:14.647999,input2
269,user_269,298,2026-04-08T16:46:15.647999,input2
270,user_270,122,2026-04-08T16:46:16.647999,input2
271,user_271,241,2026-04-08T16:46:17.647999,input2
272,user_272,187,2026-04-08T16:46:18.647999,input2
273,user_273,951,2026-04-08T16:46:19.647999,input2
274,user_274,293,2026-04-08T16:46:20.647999,input2
275,user_275,351,2026-04-08T16:46:21.647999,input2
276,user_276,500,2026-04-08T16:46:22.647999,input2
277,user_277,521,2026-04-08T16:46:23.647999,input2
278,user_278,580,2026-04-08T16:46:24.647999,input2
279,user_279,528,2026-04-08T16:46:25.647999,input2
280,user_280,341,2026-04-08T16:46:26.647999,input2
281,user_281,438,2026-04-08T16:46:27.647999,input2
282,user_282,922,2026-04-08T16:46:28.647999,input2
283,user_283,584,2026-04-08T16:46:29.647999,input2
284,user_284,582,2026-04-08T16:46:30.647999,input2
285,user_285,137,2026-04-08T16:46:31.647999,input2
286,user_286,493,2026-04-08T16:46:32.647999,input2
287,user_287,308,2026-04-08T16:46:33.647999,input2
288,user_288,471,2026-04-08T16:46:34.647999,input2
289,user_289,971,2026-04-08T16:46:35.647999,input2
290,user_290,772,2026-04-08T16:46:36.647999,input2
291,user_291,149,2026-04-08T16:46:37.647999,input2
292,user_292,392,2026-04-08T16:46:38.647999,input2
293,user_293,825,2026-04-08T16:46:39.647999,input2
294,user_294,974,2026-04-08T16:46:40.647999,input2
295,user_295,316,2026-04-08T16:46:41.647999,input2
296,user_296,198,2026-04-08T16:46:42.647999,input2
297,user_297,340,2026-04-08T16:46:43.647999,input2
298,user_298,165,2026-04-08T16:46:44.647999,input2
299,user_299,282,2026-04-08T16:46:45.647999,input2
300,user_300,754,2026-04-08T16:46:46.647999,input2
301,user_301,696,2026-04-08T16:46:47.647999,input2
302,user_302,814,2026-04-08T16:46:48.647999,input2
303,user_303,723,2026-04-08T16:46:49.647999,input2
304,user_304,539,2026-04-08T16:46:50.647999,input2
305,user_305,214,2026-04-08T16:46:51.647999,input2
306,user_306,837,2026-04-08T16:46:52.647999,input2
307,user_307,110,2026-04-08T16:46:53.647999,input2
308,user_308,828,2026-04-08T16:46:54.647999,input2
309,user_309,451,2026-04-08T16:46:55.647999,input2
310,user_310,494,2026-04-08T16:46:56.647999,input2
311,user_311,428,2026-04-08T16:46:57.647999,input2
312,user_312,688,2026-04-08T16:46:58.647999,input2
313,user_313,193,2026-04-08T16:46:59.647999,input2
314,user_314,103,2026-04-08T16:47:00.647999,input2
315,user_315,389,2026-04-08T16:47:01.647999,input2
316,user_316,590,2026-04-08T16:47:02.647999,input2
317,user_317,503,2026-04-08T16:47:03.647999,input2
318,user_318,755,2026-04-08T16:47:04.647999,input2
319,user_319,663,2026-04-08T16:47:05.647999,input2
320,user_320,196,2026-04-08T16:47:06.647999,input2
321,user_321,108,2026-04-08T16:47:07.647999,input2
322,user_322,224,2026-04-08T16:47:08.647999,input2
323,user_323,552,2026-04-08T16:47:09.647999,input2
324,user_324,749,2026-04-08T16:47:10.647999,input2
325,user_325,291,2026-04-08T16:47:11.647999,input2
326,user_326,873,2026-04-08T16:47:12.647999,input2
327,user_327,307,2026-04-08T16:47:13.647999,input2
328,user_328,506,2026-04-08T16:47:14.647999,input2
329,user_329,364,2026-04-08T16:47:15.647999,input2
330,user_330,939,2026-04-08T16:47:16.647999,input2
331,user_331,810,2026-04-08T16:47:17.647999,input2
332,user_332,447,2026-04-08T16:47:18.647999,input2
333,user_333,687,2026-04-08T16:47:19.647999,input2
334,user_334,929,2026-04-08T16:47:20.647999,input2
335,user_335,109,2026-04-08T16:47:21.647999,input2
336,user_336,135,2026-04-08T16:47:22.647999,input2
337,user_337,715,2026-04-08T16:47:23.647999,input2
338,user_338,322,2026-04-08T16:47:24.647999,input2
339,user_339,391,2026-04-08T16:47:25.647999,input2
340,user_340,252,2026-04-08T16:47:26.647999,input2
341,user_341,682,2026-04-08T16:47:27.647999,input2
342,user_342,684,2026-04-08T16:47:28.647999,input2
343,user_343,716,2026-04-08T16:47:29.647999,input2
344,user_344,902,2026-04-08T16:47:30.647999,input2
345,user_345,170,2026-04-08T16:47:31.647999,input2
346,user_346,623,2026-04-08T16:47:32.647999,input2
347,user_347,659,2026-04-08T16:47:33.647999,input2
348,user_348,308,2026-04-08T16:47:34.647999,input2
349,user_349,710,2026-04-08T16:47:35.647999,input2
350,user_350,397,2026-04-08T16:47:36.647999,input2
351,user_351,685,2026-04-08T16:47:37.647999,input2
352,user_352,160,2026-04-08T16:47:38.647999,input2
353,user_353,627,2026-04-08T16:47:39.647999,input2
354,user_354,650,2026-04-08T16:47:40.647999,input2
355,user_355,278,2026-04-08T16:47:41.647999,input2
356,user_356,763,2026-04-08T16:47:42.647999,input2
357,user_357,113,2026-04-08T16:47:43.647999,input2
358,user_358,908,2026-04-08T16:47:44.647999,input2
359,user_359,386,2026-04-08T16:47:45.647999,input2
360,user_360,618,2026-04-08T16:47:46.647999,input2
361,user_361,123,2026-04-08T16:47:47.647999,input2
362,user_362,776,2026-04-08T16:47:48.647999,input2
363,user_363,166,2026-04-08T16:47:49.647999,input2
364,user_364,888,2026-04-08T16:47:50.647999,input2
365,user_365,455,2026-04-08T16:47:51.647999,input2
366,user_366,241,2026-04-08T16:47:52.647999,input2
367,user_367,778,2026-04-08T16:47:53.647999,input2
368,user_368,209,2026-04-08T16:47:54.647999,input2
369,user_369,463,2026-04-08T16:47:55.647999,input2
370,user_370,906,2026-04-08T16:47:56.647999,input2
371,user_371,623,2026-04-08T16:47:57.647999,input2
372,user_372,816,2026-04-08T16:47:58.647999,input2
373,user_373,415,2026-04-08T16:47:59.647999,input2
374,user_374,736,2026-04-08T16:48:00.647999,input2
375,user_375,855,2026-04-08T16:48:01.647999,input2
376,user_376,335,2026-04-08T16:48:02.647999,input2
377,user_377,252,2026-04-08T16:48:03.647999,input2
378,user_378,657,2026-04-08T16:48:04.647999,input2
379,user_379,560,2026-04-08T16:48:05.647999,input2
380,user_380,531,2026-04-08T16:48:06.647999,input2
381,user_381,757,2026-04-08T16:48:07.647999,input2
382,user_382,227,2026-04-08T16:48:08.647999,input2
383,user_383,515,2026-04-08T16:48:09.647999,input2
384,user_384,172,2026-04-08T16:48:10.647999,input2
385,user_385,697,2026-04-08T16:48:11.647999,input2
386,user_386,786,2026-04-08T16:48:12.647999,input2
387,user_387,593,2026-04-08T16:48:13.647999,input2
388,user_388,662,2026-04-08T16:48:14.647999,input2
389,user_389,178,2026-04-08T16:48:15.647999,input2
390,user_390,188,2026-04-08T16:48:16.647999,input2
391,user_391,198,2026-04-08T16:48:17.647999,input2
392,user_392,684,2026-04-08T16:48:18.647999,input2
393,user_393,822,2026-04-08T16:48:19.647999,input2
394,user_394,444,2026-04-08T16:48:20.647999,input2
395,user_395,266,2026-04-08T16:48:21.647999,input2
396,user_396,173,2026-04-08T16:48:22.647999,input2
397,user_397,236,2026-04-08T16:48:23.647999,input2
398,user_398,462,2026-04-08T16:48:24.647999,input2
399,user_399,613,2026-04-08T16:48:25.647999,input2
400,user_400,784,2026-04-08T16:48:26.647999,input2
401,user_401,895,2026-04-08T16:48:27.647999,input2
402,user_402,656,2026-04-08T16:48:28.647999,input2
403,user_403,788,2026-04-08T16:48:29.647999,input2
404,user_404,249,2026-04-08T16:48:30.647999,input2
405,user_405,337,2026-04-08T16:48:31.647999,input2
406,user_406,364,2026-04-08T16:48:32.647999,input2
407,user_407,244,2026-04-08T16:48:33.647999,input2
408,user_408,911,2026-04-08T16:48:34.647999,input2
409,user_409,891,2026-04-08T16:48:35.647999,input2
410,user_410,387,2026-04-08T16:48:36.647999,input2
411,user_411,749,2026-04-08T16:48:37.647999,input2
412,user_412,841,2026-04-08T16:48:38.647999,input2
413,user_413,240,2026-04-08T16:48:39.647999,input2
414,user_414,571,2026-04-08T16:48:40.647999,input2
415,user_415,946,2026-04-08T16:48:41.647999,input2
416,user_416,807,2026-04-08T16:48:42.647999,input2
417,user_417,181,2026-04-08T16:48:43.647999,input2
418,user_418,646,2026-04-08T16:48:44.647999,input2
419,user_419,433,2026-04-08T16:48:45.647999,input2
420,user_420,219,2026-04-08T16:48:46.647999,input2
421,user_421,821,2026-04-08T16:48:47.647999,input2
422,user_422,687,2026-04-08T16:48:48.647999,input2
423,user_423,188,2026-04-08T16:48:49.647999,input2
424,user_424,567,2026-04-08T16:48:50.647999,input2
425,user_425,449,2026-04-08T16:48:51.647999,input2
426,user_426,146,2026-04-08T16:48:52.647999,input2
427,user_427,894,2026-04-08T16:48:53.647999,input2
428,user_428,516,2026-04-08T16:48:54.647999,input2
429,user_429,579,2026-04-08T16:48:55.647999,input2
430,user_430,742,2026-04-08T16:48:56.647999,input2
431,user_431,799,2026-04-08T16:48:57.647999,input2
432,user_432,196,2026-04-08T16:48:58.647999,input2
433,user_433,499,2026-04-08T16:48:59.647999,input2
434,user_434,212,2026-04-08T16:49:00.647999,input2
435,user_435,388,2026-04-08T16:49:01.647999,input2
436,user_436,996,2026-04-08T16:49:02.647999,input2
437,user_437,386,2026-04-08T16:49:03.647999,input2
438,user_438,639,2026-04-08T16:49:04.647999,input2
439,user_439,551,2026-04-08T16:49:05.647999,input2
440,user_440,432,2026-04-08T16:49:06.647999,input2
441,user_441,626,2026-04-08T16:49:07.647999,input2
442,user_442,469,2026-04-08T16:49:08.647999,input2
443,user_443,597,2026-04-08T16:49:09.647999,input2
444,user_444,738,2026-04-08T16:49:10.647999,input2
445,user_445,135,2026-04-08T16:49:11.647999,input2
446,user_446,930,2026-04-08T16:49:12.647999,input2
447,user_447,119,2026-04-08T16:49:13.647999,input2
448,user_448,429,2026-04-08T16:49:14.647999,input2
449,user_449,704,2026-04-08T16:49:15.647999,input2
450,user_450,587,2026-04-08T16:49:16.647999,input2
451,user_451,986,2026-04-08T16:49:17.647999,input2
452,user_452,823,2026-04-08T16:49:18.647999,input2
453,user_453,374,2026-04-08T16:49:19.647999,input2
454,user_454,879,2026-04-08T16:49:20.647999,input2
455,user_455,267,2026-04-08T16:49:21.647999,input2
456,user_456,822,2026-04-08T16:49:22.647999,input2
457,user_457,884,2026-04-08T16:49:23.647999,input2
458,user_458,203,2026-04-08T16:49:24.647999,input2
459,user_459,114,2026-04-08T16:49:25.647999,input2
460,user_460,674,2026-04-08T16:49:26.647999,input2
461,user_461,204,2026-04-08T16:49:27.647999,input2
462,user_462,207,2026-04-08T16:49:28.647999,input2
463,user_463,995,2026-04-08T16:49:29.647999,input2
464,user_464,526,2026-04-08T16:49:30.647999,input2
465,user_465,415,2026-04-08T16:49:31.647999,input2
466,user_466,274,2026-04-08T16:49:32.647999,input2
467,user_467,639,2026-04-08T16:49:33.647999,input2
468,user_468,598,2026-04-08T16:49:34.647999,input2
469,user_469,272,2026-04-08T16:49:35.647999,input2
470,user_470,850,2026-04-08T16:49:36.647999,input2
471,user_471,158,2026-04-08T16:49:37.647999,input2
472,user_472,240,2026-04-08T16:49:38.647999,input2
473,user_473,501,2026-04-08T16:49:39.647999,input2
474,user_474,747,2026-04-08T16:49:40.647999,input2
475,user_475,998,2026-04-08T16:49:41.647999,input2
476,user_476,153,2026-04-08T16:49:42.647999,input2
477,user_477,379,2026-04-08T16:49:43.647999,input2
478,user_478,140,2026-04-08T16:49:44.647999,input2
479,user_479,252,2026-04-08T16:49:45.647999,input2
480,user_480,281,2026-04-08T16:49:46.647999,input2
481,user_481,834,2026-04-08T16:49:47.647999,input2
482,user_482,109,2026-04-08T16:49:48.647999,input2
483,user_483,352,2026-04-08T16:49:49.647999,input2
484,user_484,762,2026-04-08T16:49:50.647999,input2
485,user_485,884,2026-04-08T16:49:51.647999,input2
486,user_486,483,2026-04-08T16:49:52.647999,input2
487,user_487,123,2026-04-08T16:49:53.647999,input2
488,user_488,917,2026-04-08T16:49:54.647999,input2
489,user_489,389,2026-04-08T16:49:55.647999,input2
490,user_490,315,2026-04-08T16:49:56.647999,input2
491,user_491,426,2026-04-08T16:49:57.647999,input2
492,user_492,895,2026-04-08T16:49:58.647999,input2
493,user_493,303,2026-04-08T16:49:59.647999,input2
494,user_494,519,2026-04-08T16:50:00.647999,input2
495,user_495,638,2026-04-08T16:50:01.647999,input2
496,user_496,506,2026-04-08T16:50:02.647999,input2
497,user_497,980,2026-04-08T16:50:03.647999,input2
498,user_498,797,2026-04-08T16:50:04.647999,input2
499,user_499,944,2026-04-08T16:50:05.647999,input2
500,user_500,648,2026-04-08T16:50:06.647999,input2
501,user_501,148,2026-04-08T16:50:07.647999,input2
502,user_502,742,2026-04-08T16:50:08.647999,input2
503,user_503,806,2026-04-08T16:50:09.647999,input2
504,user_504,784,2026-04-08T16:50:10.647999,input2
505,user_505,843,2026-04-08T16:50:11.647999,input2
506,user_506,905,2026-04-08T16:50:12.647999,input2
507,user_507,107,2026-04-08T16:50:13.647999,input2
508,user_508,158,2026-04-08T16:50:14.647999,input2
509,user_509,390,2026-04-08T16:50:15.647999,input2
510,user_510,731,2026-04-08T16:50:16.647999,input2
511,user_511,403,2026-04-08T16:50:17.647999,input2
512,user_512,540,2026-04-08T16:50:18.647999,input2
513,user_513,497,2026-04-08T16:50:19.647999,input2
514,user_514,659,2026-04-08T16:50:20.647999,input2
515,user_515,181,2026-04-08T16:50:21.647999,input2
516,user_516,408,2026-04-08T16:50:22.647999,input2
517,user_517,166,2026-04-08T16:50:23.647999,input2
