reading_id,room_id,date,time,temperature_c,humidity_pct,occupancy_count,max_capacity,utilization_pct,ac_status,light_status,projector_status,air_quality_index
SNS0000028,Room-G04,2025-07-01,07:00,23.8,55.1,1,60,1.7,OFF,ON,OFF,90
SNS0000029,Room-G04,2025-07-01,08:00,27.0,63.8,6,60,10.0,OFF,ON,OFF,65
SNS0000030,Room-G04,2025-07-01,09:00,28.7,52.0,44,60,73.3,ON,ON,OFF,32
SNS0000031,Room-G04,2025-07-01,10:00,23.7,68.7,53,60,88.3,ON,ON,ON,53
SNS0000032,Room-G04,2025-07-01,11:00,34.0,49.0,34,60,56.7,ON,ON,ON,53
SNS0000033,Room-G04,2025-07-01,12:00,34.8,36.5,4,60,6.7,OFF,ON,OFF,90
SNS0000034,Room-G04,2025-07-01,13:00,37.0,71.7,31,60,51.7,ON,ON,ON,67
SNS0000035,Room-G04,2025-07-01,14:00,22.3,62.9,51,60,85.0,ON,ON,OFF,119
SNS0000036,Room-G04,2025-07-01,15:00,24.7,36.1,10,60,16.7,OFF,ON,OFF,58
SNS0000037,Room-G05,2025-07-01,07:00,21.5,69.3,8,60,13.3,OFF,ON,OFF,136
SNS0000038,Room-G05,2025-07-01,08:00,22.9,53.7,35,60,58.3,ON,ON,OFF,73
SNS0000039,Room-G05,2025-07-01,09:00,30.0,50.2,10,60,16.7,OFF,ON,OFF,38
SNS0000040,Room-G05,2025-07-01,10:00,27.0,35.2,30,60,50.0,ON,ON,OFF,77
SNS0000041,Room-G05,2025-07-01,11:00,31.8,63.3,39,60,65.0,ON,ON,ON,35
SNS0000042,Room-G05,2025-07-01,12:00,30.1,58.2,21,60,35.0,ON,ON,ON,81
SNS0000043,Room-G05,2025-07-01,13:00,23.4,42.7,50,60,83.3,ON,ON,ON,138
SNS0000044,Room-G05,2025-07-01,14:00,33.9,43.5,52,60,86.7,ON,ON,ON,38
SNS0000045,Room-G05,2025-07-01,15:00,25.0,37.0,3,60,5.0,OFF,ON,OFF,42
SNS0000046,Room-G06,2025-07-01,07:00,21.1,65.4,0,60,0.0,OFF,OFF,OFF,96
SNS0000047,Room-G06,2025-07-01,08:00,23.1,65.7,53,60,88.3,ON,ON,ON,132
SNS0000048,Room-G06,2025-07-01,09:00,23.4,47.1,51,60,85.0,ON,ON,OFF,150
SNS0000049,Room-G06,2025-07-01,10:00,31.8,50.2,0,60,0.0,OFF,OFF,OFF,156
SNS0000050,Room-G06,2025-07-01,11:00,35.6,59.0,44,60,73.3,ON,ON,ON,103
SNS0000051,Room-G06,2025-07-01,12:00,33.0,60.2,17,60,28.3,OFF,ON,OFF,155
SNS0000052,Room-G06,2025-07-01,13:00,35.5,69.4,5,60,8.3,OFF,ON,OFF,102
SNS0000053,Room-G06,2025-07-01,14:00,29.4,61.6,44,60,73.3,ON,ON,OFF,177
SNS0000054,Room-G06,2025-07-01,15:00,28.0,36.7,2,60,3.3,OFF,ON,OFF,150
SNS0000055,Room-G07,2025-07-01,07:00,27.7,69.6,7,60,11.7,OFF,ON,OFF,53
SNS0000056,Room-G07,2025-07-01,08:00,27.5,38.0,20,60,33.3,OFF,ON,ON,96
SNS0000057,Room-G07,2025-07-01,09:00,23.1,65.3,40,60,66.7,ON,ON,ON,73
SNS0000058,Room-G07,2025-07-01,10:00,35.8,49.6,50,60,83.3,ON,ON,ON,114
SNS0000059,Room-G07,2025-07-01,11:00,28.9,64.6,47,60,78.3,ON,ON,ON,80
SNS0000060,Room-G07,2025-07-01,12:00,32.6,42.5,5,60,8.3,OFF,ON,OFF,152
SNS0000061,Room-G07,2025-07-01,13:00,32.0,42.3,38,60,63.3,ON,ON,OFF,128
SNS0000062,Room-G07,2025-07-01,14:00,36.4,66.7,0,60,0.0,OFF,OFF,OFF,136
SNS0000063,Room-G07,2025-07-01,15:00,28.5,60.2,7,60,11.7,OFF,ON,OFF,61
SNS0000064,Room-G08,2025-07-01,07:00,25.1,56.2,2,60,3.3,OFF,ON,OFF,109
SNS0000065,Room-G08,2025-07-01,08:00,22.1,66.0,22,60,36.7,ON,ON,OFF,175
SNS0000066,Room-G08,2025-07-01,09:00,25.5,70.8,12,60,20.0,OFF,ON,ON,59
SNS0000067,Room-G08,2025-07-01,10:00,26.5,52.7,54,60,90.0,ON,ON,OFF,82
SNS0000068,Room-G08,2025-07-01,11:00,37.0,71.7,42,60,70.0,ON,ON,OFF,177
SNS0000069,Room-G08,2025-07-01,12:00,25.2,74.8,22,60,36.7,ON,ON,OFF,120
SNS0000070,Room-G08,2025-07-01,13:00,31.7,67.2,18,60,30.0,OFF,ON,OFF,144
SNS0000071,Room-G08,2025-07-01,14:00,34.6,40.8,4,60,6.7,OFF,ON,OFF,165
SNS0000072,Room-G08,2025-07-01,15:00,26.1,42.0,10,60,16.7,OFF,ON,OFF,115
SNS0000073,Room-G09,2025-07-01,07:00,26.5,57.3,6,60,10.0,OFF,ON,OFF,167
SNS0000074,Room-G09,2025-07-01,08:00,20.1,45.0,28,60,46.7,ON,ON,OFF,118
SNS0000075,Room-G09,2025-07-01,09:00,23.8,45.0,52,60,86.7,ON,ON,ON,144
SNS0000076,Room-G09,2025-07-01,10:00,30.2,72.5,55,60,91.7,ON,ON,OFF,166
SNS0000077,Room-G09,2025-07-01,11:00,28.8,44.1,49,60,81.7,ON,ON,OFF,118
SNS0000078,Room-G09,2025-07-01,12:00,24.0,58.8,25,60,41.7,ON,ON,ON,79
SNS0000079,Room-G09,2025-07-01,13:00,26.3,74.6,2,60,3.3,OFF,ON,OFF,79
SNS0000080,Room-G09,2025-07-01,14:00,29.6,71.7,14,60,23.3,OFF,ON,OFF,148
SNS0000081,Room-G09,2025-07-01,15:00,23.8,50.3,2,60,3.3,OFF,ON,OFF,42
SNS0000082,Room-G10,2025-07-01,07:00,21.1,54.5,10,60,16.7,OFF,ON,OFF,164
SNS0000083,Room-G10,2025-07-01,08:00,25.4,50.0,37,60,61.7,ON,ON,ON,153
SNS0000084,Room-G10,2025-07-01,09:00,26.6,72.5,50,60,83.3,ON,ON,ON,137
SNS0000085,Room-G10,2025-07-01,10:00,36.2,39.1,51,60,85.0,ON,ON,OFF,106
SNS0000086,Room-G10,2025-07-01,11:00,30.1,42.1,7,60,11.7,OFF,ON,OFF,108
SNS0000087,Room-G10,2025-07-01,12:00,24.2,69.7,50,60,83.3,ON,ON,ON,77
SNS0000088,Room-G10,2025-07-01,13:00,26.7,53.0,6,60,10.0,OFF,ON,OFF,48
SNS0000089,Room-G10,2025-07-01,14:00,25.1,41.6,50,60,83.3,ON,ON,ON,138
SNS0000090,Room-G10,2025-07-01,15:00,25.5,56.8,8,60,13.3,OFF,ON,OFF,48
SNS0000091,Room-G11,2025-07-01,07:00,23.4,47.6,5,60,8.3,OFF,ON,OFF,176
SNS0000092,Room-G11,2025-07-01,08:00,27.5,49.2,9,60,15.0,OFF,ON,OFF,149
SNS0000093,Room-G11,2025-07-01,09:00,21.0,61.2,20,60,33.3,OFF,ON,OFF,151
SNS0000094,Room-G11,2025-07-01,10:00,35.5,63.8,10,60,16.7,OFF,ON,OFF,63
SNS0000095,Room-G11,2025-07-01,11:00,28.8,37.8,48,60,80.0,ON,ON,OFF,124
SNS0000096,Room-G11,2025-07-01,12:00,29.0,64.7,42,60,70.0,ON,ON,OFF,31
SNS0000097,Room-G11,2025-07-01,13:00,23.6,47.8,6,60,10.0,OFF,ON,OFF,116
SNS0000098,Room-G11,2025-07-01,14:00,29.7,55.0,44,60,73.3,ON,ON,ON,80
SNS0000099,Room-G11,2025-07-01,15:00,23.8,49.7,0,60,0.0,OFF,OFF,OFF,39
SNS0000100,Room-G12,2025-07-01,07:00,29.3,55.9,5,60,8.3,OFF,ON,OFF,123
SNS0000101,Room-G12,2025-07-01,08:00,20.6,52.4,41,60,68.3,ON,ON,ON,56
SNS0000102,Room-G12,2025-07-01,09:00,29.1,49.5,25,60,41.7,ON,ON,OFF,102
SNS0000103,Room-G12,2025-07-01,10:00,31.5,50.9,1,60,1.7,OFF,ON,OFF,91
SNS0000104,Room-G12,2025-07-01,11:00,22.4,72.1,11,60,18.3,OFF,ON,OFF,84
SNS0000105,Room-G12,2025-07-01,12:00,32.6,50.4,5,60,8.3,OFF,ON,OFF,57
SNS0000106,Room-G12,2025-07-01,13:00,23.6,48.6,33,60,55.0,ON,ON,OFF,131
SNS0000107,Room-G12,2025-07-01,14:00,36.4,68.6,40,60,66.7,ON,ON,OFF,72
SNS0000108,Room-G12,2025-07-01,15:00,25.9,35.6,0,60,0.0,OFF,OFF,OFF,160
SNS0000109,Room-G13,2025-07-01,07:00,28.6,60.7,2,60,3.3,OFF,ON,OFF,118
SNS0000110,Room-G13,2025-07-01,08:00,27.7,36.3,26,60,43.3,ON,ON,OFF,117
SNS0000111,Room-G13,2025-07-01,09:00,22.9,69.5,0,60,0.0,OFF,OFF,OFF,100
SNS0000112,Room-G13,2025-07-01,10:00,22.8,50.3,6,60,10.0,OFF,ON,OFF,153
SNS0000113,Room-G13,2025-07-01,11:00,29.2,47.3,32,60,53.3,ON,ON,ON,48
SNS0000114,Room-G13,2025-07-01,12:00,25.9,45.2,37,60,61.7,ON,ON,OFF,124
SNS0000115,Room-G13,2025-07-01,13:00,34.7,42.9,53,60,88.3,ON,ON,ON,126
SNS0000116,Room-G13,2025-07-01,14:00,37.7,67.2,7,60,11.7,OFF,ON,OFF,93
SNS0000117,Room-G13,2025-07-01,15:00,22.8,42.9,3,60,5.0,OFF,ON,OFF,123
SNS0000118,Room-G14,2025-07-01,07:00,22.1,66.0,7,60,11.7,OFF,ON,OFF,118
SNS0000119,Room-G14,2025-07-01,08:00,24.1,57.4,8,60,13.3,OFF,ON,OFF,154
SNS0000120,Room-G14,2025-07-01,09:00,22.5,68.9,19,60,31.7,OFF,ON,ON,180
SNS0000121,Room-G14,2025-07-01,10:00,25.1,38.3,10,60,16.7,OFF,ON,OFF,123
SNS0000122,Room-G14,2025-07-01,11:00,27.1,55.0,24,60,40.0,ON,ON,OFF,70
SNS0000123,Room-G14,2025-07-01,12:00,30.6,70.0,20,60,33.3,OFF,ON,OFF,103
SNS0000124,Room-G14,2025-07-01,13:00,29.6,42.2,55,60,91.7,ON,ON,OFF,88
SNS0000125,Room-G14,2025-07-01,14:00,33.4,45.1,36,60,60.0,ON,ON,OFF,48
SNS0000126,Room-G14,2025-07-01,15:00,26.0,49.9,9,60,15.0,OFF,ON,OFF,98
SNS0000127,Room-G15,2025-07-01,07:00,28.2,70.7,0,60,0.0,OFF,OFF,OFF,111
SNS0000128,Room-G15,2025-07-01,08:00,24.7,43.6,3,60,5.0,OFF,ON,OFF,117
SNS0000129,Room-G15,2025-07-01,09:00,21.4,54.4,26,60,43.3,ON,ON,OFF,161
SNS0000130,Room-G15,2025-07-01,10:00,28.3,70.8,8,60,13.3,OFF,ON,OFF,55
SNS0000131,Room-G15,2025-07-01,11:00,31.9,64.9,43,60,71.7,ON,ON,ON,175
SNS0000132,Room-G15,2025-07-01,12:00,33.7,74.1,45,60,75.0,ON,ON,OFF,170
SNS0000133,Room-G15,2025-07-01,13:00,34.5,60.1,19,60,31.7,OFF,ON,OFF,80
SNS0000134,Room-G15,2025-07-01,14:00,30.2,66.3,6,60,10.0,OFF,ON,OFF,85
SNS0000135,Room-G15,2025-07-01,15:00,28.2,61.9,0,60,0.0,OFF,OFF,OFF,127
SNS0000136,Room-101,2025-07-01,07:00,20.3,61.5,2,60,3.3,OFF,ON,OFF,54
SNS0000137,Room-101,2025-07-01,08:00,27.0,60.0,55,60,91.7,ON,ON,ON,177
SNS0000138,Room-101,2025-07-01,09:00,29.2,64.4,27,60,45.0,ON,ON,OFF,48
SNS0000139,Room-101,2025-07-01,10:00,22.3,43.0,28,60,46.7,ON,ON,ON,125
SNS0000140,Room-101,2025-07-01,11:00,37.2,53.4,42,60,70.0,ON,ON,OFF,112
SNS0000141,Room-101,2025-07-01,12:00,32.5,73.7,30,60,50.0,ON,ON,ON,169
SNS0000142,Room-101,2025-07-01,13:00,24.7,55.1,24,60,40.0,ON,ON,ON,46
SNS0000143,Room-101,2025-07-01,14:00,30.1,56.6,11,60,18.3,OFF,ON,OFF,121
SNS0000144,Room-101,2025-07-01,15:00,20.2,64.6,9,60,15.0,OFF,ON,OFF,129
SNS0000145,Room-102,2025-07-01,07:00,29.6,61.0,0,60,0.0,OFF,OFF,OFF,78
SNS0000146,Room-102,2025-07-01,08:00,23.1,58.9,0,60,0.0,OFF,OFF,OFF,34
SNS0000147,Room-102,2025-07-01,09:00,26.3,38.6,10,60,16.7,OFF,ON,OFF,78
SNS0000148,Room-102,2025-07-01,10:00,30.6,39.9,39,60,65.0,ON,ON,ON,106
SNS0000149,Room-102,2025-07-01,11:00,23.2,57.1,33,60,55.0,ON,ON,ON,139
SNS0000150,Room-102,2025-07-01,12:00,24.7,45.0,22,60,36.7,ON,ON,ON,169
SNS0000151,Room-102,2025-07-01,13:00,36.8,52.0,37,60,61.7,ON,ON,ON,107
SNS0000152,Room-102,2025-07-01,14:00,37.3,59.5,51,60,85.0,ON,ON,ON,175
SNS0000153,Room-102,2025-07-01,15:00,24.7,64.7,0,60,0.0,OFF,OFF,OFF,135
SNS0000154,Room-103,2025-07-01,07:00,29.1,55.9,8,60,13.3,OFF,ON,OFF,158
SNS0000155,Room-103,2025-07-01,08:00,25.3,35.8,35,60,58.3,ON,ON,ON,154
SNS0000156,Room-103,2025-07-01,09:00,26.5,62.6,29,60,48.3,ON,ON,OFF,131
SNS0000157,Room-103,2025-07-01,10:00,34.5,72.6,34,60,56.7,ON,ON,OFF,50
SNS0000158,Room-103,2025-07-01,11:00,33.1,51.7,48,60,80.0,ON,ON,ON,51
SNS0000159,Room-103,2025-07-01,12:00,37.4,71.6,28,60,46.7,ON,ON,ON,128
SNS0000160,Room-103,2025-07-01,13:00,33.4,69.7,45,60,75.0,ON,ON,ON,105
SNS0000161,Room-103,2025-07-01,14:00,28.6,47.5,10,60,16.7,OFF,ON,OFF,107
SNS0000162,Room-103,2025-07-01,15:00,21.0,67.9,8,60,13.3,OFF,ON,OFF,33
SNS0000163,Room-104,2025-07-01,07:00,20.6,46.4,9,60,15.0,OFF,ON,OFF,59
SNS0000164,Room-104,2025-07-01,08:00,24.0,52.7,52,60,86.7,ON,ON,OFF,48
SNS0000165,Room-104,2025-07-01,09:00,22.2,54.9,0,60,0.0,OFF,OFF,OFF,70
SNS0000166,Room-104,2025-07-01,10:00,23.1,45.4,48,60,80.0,ON,ON,OFF,56
SNS0000167,Room-104,2025-07-01,11:00,34.1,56.9,9,60,15.0,OFF,ON,OFF,89
SNS0000168,Room-104,2025-07-01,12:00,34.3,57.8,27,60,45.0,ON,ON,ON,118
SNS0000169,Room-104,2025-07-01,13:00,33.3,56.9,39,60,65.0,ON,ON,OFF,124
SNS0000170,Room-104,2025-07-01,14:00,30.5,59.9,27,60,45.0,ON,ON,ON,38
SNS0000171,Room-104,2025-07-01,15:00,29.8,51.6,6,60,10.0,OFF,ON,OFF,78
SNS0000172,Room-105,2025-07-01,07:00,21.6,66.2,2,60,3.3,OFF,ON,OFF,37
SNS0000173,Room-105,2025-07-01,08:00,26.8,74.9,50,60,83.3,ON,ON,OFF,119
SNS0000174,Room-105,2025-07-01,09:00,25.0,45.4,3,60,5.0,OFF,ON,OFF,147
SNS0000175,Room-105,2025-07-01,10:00,27.2,60.4,53,60,88.3,ON,ON,OFF,58
SNS0000176,Room-105,2025-07-01,11:00,23.1,43.6,52,60,86.7,ON,ON,ON,170
SNS0000177,Room-105,2025-07-01,12:00,25.7,52.3,41,60,68.3,ON,ON,OFF,96
SNS0000178,Room-105,2025-07-01,13:00,33.1,65.3,26,60,43.3,ON,ON,OFF,74
SNS0000179,Room-105,2025-07-01,14:00,23.5,45.5,54,60,90.0,ON,ON,OFF,102
SNS0000180,Room-105,2025-07-01,15:00,24.2,44.0,2,60,3.3,OFF,ON,OFF,56
SNS0000181,Room-106,2025-07-01,07:00,20.3,61.7,9,60,15.0,OFF,ON,OFF,119
SNS0000182,Room-106,2025-07-01,08:00,23.0,44.6,10,60,16.7,OFF,ON,OFF,88
SNS0000183,Room-106,2025-07-01,09:00,24.0,49.3,25,60,41.7,ON,ON,ON,118
SNS0000184,Room-106,2025-07-01,10:00,23.9,62.0,16,60,26.7,OFF,ON,ON,37
SNS0000185,Room-106,2025-07-01,11:00,34.4,41.1,49,60,81.7,ON,ON,OFF,68
SNS0000186,Room-106,2025-07-01,12:00,23.9,63.3,4,60,6.7,OFF,ON,OFF,163
SNS0000187,Room-106,2025-07-01,13:00,23.1,56.1,2,60,3.3,OFF,ON,OFF,43
SNS0000188,Room-106,2025-07-01,14:00,32.4,66.9,35,60,58.3,ON,ON,ON,96
SNS0000189,Room-106,2025-07-01,15:00,23.8,52.5,9,60,15.0,OFF,ON,OFF,80
SNS0000190,Room-107,2025-07-01,07:00,23.3,51.6,5,60,8.3,OFF,ON,OFF,61
SNS0000191,Room-107,2025-07-01,08:00,20.6,50.7,31,60,51.7,ON,ON,ON,70
SNS0000192,Room-107,2025-07-01,09:00,28.5,68.5,10,60,16.7,OFF,ON,OFF,57
SNS0000193,Room-107,2025-07-01,10:00,28.6,45.6,16,60,26.7,OFF,ON,ON,118
SNS0000194,Room-107,2025-07-01,11:00,33.1,42.0,42,60,70.0,ON,ON,ON,47
SNS0000195,Room-107,2025-07-01,12:00,33.7,39.6,5,60,8.3,OFF,ON,OFF,141
SNS0000196,Room-107,2025-07-01,13:00,35.7,59.0,37,60,61.7,ON,ON,ON,49
SNS0000197,Room-107,2025-07-01,14:00,31.7,41.6,32,60,53.3,ON,ON,OFF,179
SNS0000198,Room-107,2025-07-01,15:00,25.2,52.9,6,60,10.0,OFF,ON,OFF,105
SNS0000199,Room-108,2025-07-01,07:00,21.6,51.9,10,60,16.7,OFF,ON,OFF,147
SNS0000200,Room-108,2025-07-01,08:00,22.4,67.7,18,60,30.0,OFF,ON,OFF,140
SNS0000201,Room-108,2025-07-01,09:00,23.0,66.2,2,60,3.3,OFF,ON,OFF,45
SNS0000202,Room-108,2025-07-01,10:00,34.4,69.7,43,60,71.7,ON,ON,ON,160
SNS0000203,Room-108,2025-07-01,11:00,27.2,57.9,33,60,55.0,ON,ON,ON,32
SNS0000204,Room-108,2025-07-01,12:00,37.9,49.0,38,60,63.3,ON,ON,OFF,132
SNS0000205,Room-108,2025-07-01,13:00,24.9,40.5,34,60,56.7,ON,ON,ON,91
SNS0000206,Room-108,2025-07-01,14:00,28.5,48.9,30,60,50.0,ON,ON,OFF,177
SNS0000207,Room-108,2025-07-01,15:00,26.1,66.7,4,60,6.7,OFF,ON,OFF,65
SNS0000208,Room-109,2025-07-01,07:00,24.0,37.0,1,60,1.7,OFF,ON,OFF,155
SNS0000209,Room-109,2025-07-01,08:00,28.1,54.7,19,60,31.7,OFF,ON,ON,54
SNS0000210,Room-109,2025-07-01,09:00,26.5,62.0,42,60,70.0,ON,ON,OFF,168
SNS0000211,Room-109,2025-07-01,10:00,37.0,48.3,41,60,68.3,ON,ON,OFF,158
SNS0000212,Room-109,2025-07-01,11:00,33.3,56.8,17,60,28.3,OFF,ON,ON,81
SNS0000213,Room-109,2025-07-01,12:00,31.5,71.9,12,60,20.0,OFF,ON,OFF,117
SNS0000214,Room-109,2025-07-01,13:00,29.9,69.4,15,60,25.0,OFF,ON,ON,82
SNS0000215,Room-109,2025-07-01,14:00,35.1,37.0,0,60,0.0,OFF,OFF,OFF,44
SNS0000216,Room-109,2025-07-01,15:00,28.1,48.7,3,60,5.0,OFF,ON,OFF,80
SNS0000217,Room-110,2025-07-01,07:00,21.0,64.2,6,60,10.0,OFF,ON,OFF,123
SNS0000218,Room-110,2025-07-01,08:00,24.1,53.6,53,60,88.3,ON,ON,ON,88
SNS0000219,Room-110,2025-07-01,09:00,29.3,63.5,1,60,1.7,OFF,ON,OFF,66
SNS0000220,Room-110,2025-07-01,10:00,32.6,51.3,18,60,30.0,OFF,ON,OFF,103
SNS0000221,Room-110,2025-07-01,11:00,24.8,41.3,11,60,18.3,OFF,ON,ON,122
SNS0000222,Room-110,2025-07-01,12:00,36.7,48.2,2,60,3.3,OFF,ON,OFF,30
SNS0000223,Room-110,2025-07-01,13:00,32.3,63.1,2,60,3.3,OFF,ON,OFF,174
SNS0000224,Room-110,2025-07-01,14:00,36.6,43.1,30,60,50.0,ON,ON,ON,105
SNS0000225,Room-110,2025-07-01,15:00,28.5,65.1,8,60,13.3,OFF,ON,OFF,175
SNS0000226,Room-111,2025-07-01,07:00,23.6,69.5,8,60,13.3,OFF,ON,OFF,132
SNS0000227,Room-111,2025-07-01,08:00,22.4,57.0,48,60,80.0,ON,ON,ON,178
SNS0000228,Room-111,2025-07-01,09:00,26.0,45.9,53,60,88.3,ON,ON,OFF,174
SNS0000229,Room-111,2025-07-01,10:00,31.8,42.5,34,60,56.7,ON,ON,OFF,128
SNS0000230,Room-111,2025-07-01,11:00,35.1,47.9,11,60,18.3,OFF,ON,ON,55
SNS0000231,Room-111,2025-07-01,12:00,29.1,67.8,39,60,65.0,ON,ON,ON,127
SNS0000232,Room-111,2025-07-01,13:00,26.3,40.7,22,60,36.7,ON,ON,ON,100
SNS0000233,Room-111,2025-07-01,14:00,35.1,69.8,11,60,18.3,OFF,ON,ON,57
SNS0000234,Room-111,2025-07-01,15:00,21.5,62.8,3,60,5.0,OFF,ON,OFF,168
SNS0000235,Room-112,2025-07-01,07:00,25.8,36.7,10,60,16.7,OFF,ON,OFF,68
SNS0000236,Room-112,2025-07-01,08:00,23.5,35.7,35,60,58.3,ON,ON,OFF,85
SNS0000237,Room-112,2025-07-01,09:00,23.6,71.7,55,60,91.7,ON,ON,ON,172
SNS0000238,Room-112,2025-07-01,10:00,30.1,48.0,49,60,81.7,ON,ON,OFF,153
SNS0000239,Room-112,2025-07-01,11:00,32.3,62.2,19,60,31.7,OFF,ON,OFF,56
SNS0000240,Room-112,2025-07-01,12:00,30.7,61.1,13,60,21.7,OFF,ON,OFF,79
SNS0000241,Room-112,2025-07-01,13:00,32.1,72.8,11,60,18.3,OFF,ON,OFF,68
SNS0000242,Room-112,2025-07-01,14:00,31.5,53.8,34,60,56.7,ON,ON,ON,88
SNS0000243,Room-112,2025-07-01,15:00,27.8,52.5,8,60,13.3,OFF,ON,OFF,33
SNS0000244,Room-113,2025-07-01,07:00,27.4,67.7,7,60,11.7,OFF,ON,OFF,141
SNS0000245,Room-113,2025-07-01,08:00,26.2,36.6,2,60,3.3,OFF,ON,OFF,55
SNS0000246,Room-113,2025-07-01,09:00,22.7,56.3,49,60,81.7,ON,ON,OFF,154
SNS0000247,Room-113,2025-07-01,10:00,36.9,54.1,10,60,16.7,OFF,ON,OFF,179
SNS0000248,Room-113,2025-07-01,11:00,32.0,63.4,5,60,8.3,OFF,ON,OFF,65
SNS0000249,Room-113,2025-07-01,12:00,35.2,48.1,1,60,1.7,OFF,ON,OFF,44
SNS0000250,Room-113,2025-07-01,13:00,33.5,35.0,19,60,31.7,OFF,ON,OFF,109
SNS0000251,Room-113,2025-07-01,14:00,26.7,44.8,33,60,55.0,ON,ON,OFF,67
SNS0000252,Room-113,2025-07-01,15:00,26.1,61.9,9,60,15.0,OFF,ON,OFF,50
SNS0000253,Room-114,2025-07-01,07:00,29.1,44.0,8,60,13.3,OFF,ON,OFF,158
SNS0000254,Room-114,2025-07-01,08:00,25.0,54.0,21,60,35.0,ON,ON,OFF,159
SNS0000255,Room-114,2025-07-01,09:00,21.8,56.3,1,60,1.7,OFF,ON,OFF,119
SNS0000256,Room-114,2025-07-01,10:00,32.1,35.3,50,60,83.3,ON,ON,OFF,38
SNS0000257,Room-114,2025-07-01,11:00,32.9,46.4,29,60,48.3,ON,ON,ON,95
SNS0000258,Room-114,2025-07-01,12:00,24.8,71.1,30,60,50.0,ON,ON,OFF,79
SNS0000259,Room-114,2025-07-01,13:00,26.3,53.9,49,60,81.7,ON,ON,OFF,41
SNS0000260,Room-114,2025-07-01,14:00,23.2,72.6,31,60,51.7,ON,ON,ON,66
SNS0000261,Room-114,2025-07-01,15:00,29.4,36.0,5,60,8.3,OFF,ON,OFF,76
SNS0000262,Room-115,2025-07-01,07:00,21.2,50.8,5,60,8.3,OFF,ON,OFF,177
SNS0000263,Room-115,2025-07-01,08:00,22.6,42.7,27,60,45.0,ON,ON,OFF,169
SNS0000264,Room-115,2025-07-01,09:00,20.5,45.3,9,60,15.0,OFF,ON,OFF,101
SNS0000265,Room-115,2025-07-01,10:00,33.3,49.7,42,60,70.0,ON,ON,OFF,84
SNS0000266,Room-115,2025-07-01,11:00,35.6,57.0,4,60,6.7,OFF,ON,OFF,84
SNS0000267,Room-115,2025-07-01,12:00,26.3,40.6,51,60,85.0,ON,ON,ON,98
