attendance_id,student_id,date,day_of_week,class,section,status,entry_time,exit_time,capture_method,rfid_tag,is_anomaly
ATT0000069,STU00075,2025-07-01,Tuesday,5,C,Present,07:19,15:03,Biometric,,0
ATT0000070,STU00076,2025-07-01,Tuesday,12,B,Present,07:33,14:36,RFID,A5F14614B7DF,0
ATT0000071,STU00077,2025-07-01,Tuesday,10,A,Present,07:24,14:37,RFID,8101E28906FA,0
ATT0000072,STU00078,2025-07-01,Tuesday,11,C,Present,07:23,15:37,Face Recognition,,0
ATT0000073,STU00079,2025-07-01,Tuesday,7,A,Present,07:32,14:35,Biometric,,0
ATT0000074,STU00080,2025-07-01,Tuesday,7,A,Present,07:22,15:06,Face Recognition,,0
ATT0000075,STU00081,2025-07-01,Tuesday,5,A,Present,07:40,14:15,Biometric,,0
ATT0000076,STU00082,2025-07-01,Tuesday,7,D,Late,08:07,14:19,RFID,B3E7D0AB9899,0
ATT0000077,STU00083,2025-07-01,Tuesday,4,A,Present,07:28,14:01,Biometric,,0
ATT0000078,STU00084,2025-07-01,Tuesday,1,C,Present,07:39,13:14,RFID,92513C310E22,0
ATT0000079,STU00085,2025-07-01,Tuesday,12,D,Present,07:14,13:15,Face Recognition,,0
ATT0000080,STU00086,2025-07-01,Tuesday,9,D,Present,07:41,14:22,RFID,B5715555C811,0
ATT0000081,STU00087,2025-07-01,Tuesday,2,C,Present,07:13,14:40,Face Recognition,,0
ATT0000082,STU00089,2025-07-01,Tuesday,6,D,Present,07:19,15:52,Biometric,,0
ATT0000083,STU00090,2025-07-01,Tuesday,5,A,Present,07:31,13:05,Biometric,,0
ATT0000084,STU00091,2025-07-01,Tuesday,3,A,Present,07:33,13:20,RFID,D41D027AD404,0
ATT0000085,STU00092,2025-07-01,Tuesday,7,B,Present,07:12,15:04,Biometric,,0
ATT0000086,STU00093,2025-07-01,Tuesday,12,B,Present,07:32,14:45,Biometric,,0
ATT0000087,STU00094,2025-07-01,Tuesday,4,C,Present,07:29,14:59,Biometric,,0
ATT0000088,STU00095,2025-07-01,Tuesday,5,B,Present,07:40,15:31,Face Recognition,,0
ATT0000089,STU00096,2025-07-01,Tuesday,9,B,Present,07:41,14:27,Biometric,,0
ATT0000090,STU00097,2025-07-01,Tuesday,4,B,Present,07:42,13:17,RFID,76BA4BA2834E,0
ATT0000091,STU00098,2025-07-01,Tuesday,9,D,Present,07:37,14:08,Face Recognition,,0
ATT0000092,STU00099,2025-07-01,Tuesday,8,D,Present,07:44,15:27,RFID,A5F4D4BDB305,0
ATT0000093,STU00100,2025-07-01,Tuesday,4,B,Present,07:10,13:20,RFID,3F6D76AEC98C,0
ATT0000094,STU00101,2025-07-01,Tuesday,2,A,Present,07:30,15:24,Biometric,,0
ATT0000095,STU00102,2025-07-01,Tuesday,6,A,Absent,,,,,0
ATT0000096,STU00103,2025-07-01,Tuesday,3,B,Present,07:14,15:13,Biometric,,0
ATT0000097,STU00104,2025-07-01,Tuesday,8,A,Late,08:24,15:02,RFID,A67C2A683B11,0
ATT0000098,STU00105,2025-07-01,Tuesday,10,A,Present,07:28,14:46,RFID,AB928B70981A,0
ATT0000099,STU00106,2025-07-01,Tuesday,11,C,Present,07:23,14:53,Biometric,,0
ATT0000100,STU00107,2025-07-01,Tuesday,10,A,Present,07:16,13:02,RFID,FFEBF290D8B3,0
ATT0000101,STU00108,2025-07-01,Tuesday,7,B,Absent,,,,,0
ATT0000102,STU00109,2025-07-01,Tuesday,5,C,Present,07:25,13:26,Face Recognition,,0
ATT0000103,STU00110,2025-07-01,Tuesday,3,A,Present,07:44,13:33,Face Recognition,,0
ATT0000104,STU00111,2025-07-01,Tuesday,4,B,Present,07:36,13:22,Biometric,,0
ATT0000105,STU00112,2025-07-01,Tuesday,5,A,Absent,,,,,0
ATT0000106,STU00113,2025-07-01,Tuesday,4,B,Medical Leave,,,,,0
ATT0000107,STU00114,2025-07-01,Tuesday,2,A,Present,07:20,13:33,RFID,1111DBDE1D89,0
ATT0000108,STU00115,2025-07-01,Tuesday,4,A,Present,07:19,13:52,RFID,5BDD948EB7A8,0
ATT0000109,STU00116,2025-07-01,Tuesday,3,B,Present,07:45,15:55,RFID,59A2C192E045,0
ATT0000110,STU00117,2025-07-01,Tuesday,8,D,Present,07:22,14:26,RFID,CA84734DBCCB,0
ATT0000111,STU00118,2025-07-01,Tuesday,3,A,Present,07:24,15:49,RFID,C8D27ADDED8D,0
ATT0000112,STU00120,2025-07-01,Tuesday,10,B,Present,07:13,15:28,Face Recognition,,0
ATT0000113,STU00121,2025-07-01,Tuesday,11,C,Present,07:33,14:22,Face Recognition,,0
ATT0000114,STU00122,2025-07-01,Tuesday,5,A,Present,07:23,13:16,RFID,E9FB40F229EE,1
ATT0000115,STU00123,2025-07-01,Tuesday,5,A,Present,07:37,15:46,RFID,79F1976DE6BE,0
ATT0000116,STU00124,2025-07-01,Tuesday,2,C,Present,07:45,14:57,RFID,4675897CC98E,0
ATT0000117,STU00126,2025-07-01,Tuesday,9,D,Present,07:32,14:42,Biometric,,0
ATT0000118,STU00127,2025-07-01,Tuesday,8,A,Present,07:35,14:15,Face Recognition,,0
ATT0000119,STU00128,2025-07-01,Tuesday,6,C,Present,07:13,15:28,RFID,D11D715A518D,0
ATT0000120,STU00129,2025-07-01,Tuesday,5,B,Absent,,,,,0
ATT0000121,STU00130,2025-07-01,Tuesday,11,B,Present,07:32,14:27,RFID,7268651C8C6F,0
ATT0000122,STU00131,2025-07-01,Tuesday,6,C,Present,07:25,15:30,RFID,A78AB60134AB,0
ATT0000123,STU00132,2025-07-01,Tuesday,12,A,Present,07:22,14:44,Biometric,,0
ATT0000124,STU00133,2025-07-01,Tuesday,4,B,Present,07:20,13:23,RFID,D481870FB094,0
ATT0000125,STU00134,2025-07-01,Tuesday,6,D,Late,08:03,13:16,Biometric,,0
ATT0000126,STU00135,2025-07-01,Tuesday,1,C,Present,07:33,14:21,RFID,88D972A9B091,0
ATT0000127,STU00136,2025-07-01,Tuesday,3,B,Present,07:31,13:32,Face Recognition,,0
ATT0000128,STU00137,2025-07-01,Tuesday,1,C,Present,07:45,15:54,RFID,83C3605D69FF,0
ATT0000129,STU00139,2025-07-01,Tuesday,5,B,Present,07:25,14:08,RFID,F1BFD4C8B1A7,0
ATT0000130,STU00141,2025-07-01,Tuesday,11,B,Late,08:25,14:15,Biometric,,0
ATT0000131,STU00142,2025-07-01,Tuesday,7,D,Late,08:18,13:18,RFID,233CD503E898,0
ATT0000132,STU00143,2025-07-01,Tuesday,8,C,Present,07:29,13:01,RFID,AE682D5CC1C4,0
ATT0000133,STU00144,2025-07-01,Tuesday,10,B,Absent,,,,,0
ATT0000134,STU00145,2025-07-01,Tuesday,3,C,Present,07:36,14:26,Biometric,,0
ATT0000135,STU00146,2025-07-01,Tuesday,12,C,Present,07:41,14:06,Biometric,,0
ATT0000136,STU00148,2025-07-01,Tuesday,12,C,Present,07:20,13:28,Biometric,,0
ATT0000137,STU00149,2025-07-01,Tuesday,1,C,Late,08:04,13:02,RFID,81486F1F2B12,0
ATT0000138,STU00150,2025-07-01,Tuesday,11,A,Late,08:12,15:29,RFID,78CE113A58DE,0
ATT0000139,STU00151,2025-07-01,Tuesday,1,C,Present,07:16,13:42,RFID,EC7B0B78A061,0
ATT0000140,STU00152,2025-07-01,Tuesday,8,D,Present,07:12,13:59,Biometric,,0
ATT0000141,STU00153,2025-07-01,Tuesday,7,C,Present,07:42,13:21,RFID,40E6698CD38A,0
ATT0000142,STU00154,2025-07-01,Tuesday,3,C,Present,07:12,13:54,RFID,FC9A97AD09ED,0
ATT0000143,STU00155,2025-07-01,Tuesday,3,C,Present,07:41,14:49,RFID,3DF30C89900F,0
ATT0000144,STU00156,2025-07-01,Tuesday,5,C,Present,07:12,14:51,RFID,121D867B86DF,0
ATT0000145,STU00157,2025-07-01,Tuesday,9,A,Present,07:18,15:20,Face Recognition,,0
ATT0000146,STU00159,2025-07-01,Tuesday,9,B,Present,07:28,13:00,RFID,FC5EE372E680,0
ATT0000147,STU00160,2025-07-01,Tuesday,9,A,Present,07:26,13:16,Biometric,,0
ATT0000148,STU00161,2025-07-01,Tuesday,11,C,Present,07:22,13:55,RFID,8540D73C060D,0
ATT0000149,STU00162,2025-07-01,Tuesday,6,A,Present,07:29,13:04,Face Recognition,,0
ATT0000150,STU00163,2025-07-01,Tuesday,4,C,Late,08:04,14:43,RFID,1DF4D88B59F8,0
ATT0000151,STU00164,2025-07-01,Tuesday,11,A,Present,07:17,13:38,Biometric,,0
ATT0000152,STU00165,2025-07-01,Tuesday,9,C,Late,08:02,13:16,RFID,623DA2492FCB,0
ATT0000153,STU00166,2025-07-01,Tuesday,4,C,Present,07:15,15:53,Biometric,,0
ATT0000154,STU00167,2025-07-01,Tuesday,5,C,Present,07:18,14:42,Biometric,,0
ATT0000155,STU00168,2025-07-01,Tuesday,8,C,Present,07:29,14:35,Biometric,,0
ATT0000156,STU00169,2025-07-01,Tuesday,8,C,Late,08:01,13:16,RFID,3B806B35AC39,0
ATT0000157,STU00170,2025-07-01,Tuesday,1,C,Present,07:14,13:54,Face Recognition,,0
ATT0000158,STU00171,2025-07-01,Tuesday,4,A,Present,07:16,14:58,RFID,8763E8225439,0
ATT0000159,STU00172,2025-07-01,Tuesday,2,B,Present,07:20,13:28,Face Recognition,,0
ATT0000160,STU00173,2025-07-01,Tuesday,3,C,Present,07:29,13:32,RFID,0C16E68F258F,0
ATT0000161,STU00174,2025-07-01,Tuesday,12,A,Present,07:27,14:29,RFID,68846478276F,0
ATT0000162,STU00175,2025-07-01,Tuesday,6,C,Absent,,,,,0
ATT0000163,STU00176,2025-07-01,Tuesday,1,C,Late,08:03,14:51,Face Recognition,,0
ATT0000164,STU00177,2025-07-01,Tuesday,2,B,Present,07:34,14:08,Face Recognition,,0
ATT0000165,STU00178,2025-07-01,Tuesday,5,A,Present,07:30,14:38,RFID,383EC0C93074,0
ATT0000166,STU00179,2025-07-01,Tuesday,12,B,Late,08:06,14:16,RFID,745A3D3AA95E,0
ATT0000167,STU00180,2025-07-01,Tuesday,7,C,Present,07:43,15:14,RFID,7433C744647D,0
ATT0000168,STU00181,2025-07-01,Tuesday,12,A,Present,07:24,15:18,RFID,00DFA219D603,0
ATT0000169,STU00183,2025-07-01,Tuesday,6,D,Present,07:35,13:00,Face Recognition,,0
ATT0000170,STU00184,2025-07-01,Tuesday,11,A,Present,07:20,14:22,RFID,B67A165AF375,1
ATT0000171,STU00185,2025-07-01,Tuesday,11,C,Present,07:12,14:15,RFID,223C50F2AEEA,0
ATT0000172,STU00186,2025-07-01,Tuesday,8,D,Late,08:17,15:25,Biometric,,0
ATT0000173,STU00187,2025-07-01,Tuesday,2,C,Present,07:16,13:25,RFID,8A2271A8D71C,0
ATT0000174,STU00188,2025-07-01,Tuesday,11,D,Present,07:27,15:25,RFID,A528DC70DF72,0
ATT0000175,STU00189,2025-07-01,Tuesday,12,B,Present,07:45,15:40,Biometric,,0
ATT0000176,STU00190,2025-07-01,Tuesday,8,A,Present,07:27,15:04,RFID,8B4896A40BE3,0
ATT0000177,STU00191,2025-07-01,Tuesday,10,B,Present,07:25,13:01,Face Recognition,,0
ATT0000178,STU00192,2025-07-01,Tuesday,9,A,Absent,,,,,0
ATT0000179,STU00193,2025-07-01,Tuesday,9,C,Present,07:14,13:41,RFID,3AD871F49FD1,0
ATT0000180,STU00194,2025-07-01,Tuesday,3,C,Present,07:29,13:52,Face Recognition,,0
ATT0000181,STU00195,2025-07-01,Tuesday,10,B,Present,07:43,13:28,RFID,AD029D6843D3,0
ATT0000182,STU00196,2025-07-01,Tuesday,3,B,Present,07:37,13:17,Biometric,,0
ATT0000183,STU00197,2025-07-01,Tuesday,9,D,Present,07:15,14:05,Face Recognition,,0
ATT0000184,STU00198,2025-07-01,Tuesday,6,D,Present,07:37,13:14,RFID,DBB087B06C92,0
ATT0000185,STU00199,2025-07-01,Tuesday,1,A,Present,07:29,15:26,Face Recognition,,0
ATT0000186,STU00200,2025-07-01,Tuesday,4,A,Absent,,,,,0
ATT0000187,STU00201,2025-07-01,Tuesday,7,B,Present,07:16,15:01,Face Recognition,,0
ATT0000188,STU00202,2025-07-01,Tuesday,2,C,Absent,,,,,0
ATT0000189,STU00203,2025-07-01,Tuesday,11,A,Medical Leave,,,,,0
ATT0000190,STU00204,2025-07-01,Tuesday,6,D,Present,07:29,15:37,RFID,086FB8A1832B,0
ATT0000191,STU00205,2025-07-01,Tuesday,9,B,Present,07:32,14:45,RFID,0DAD82F02F0A,0
ATT0000192,STU00206,2025-07-01,Tuesday,8,B,Absent,,,,,0
ATT0000193,STU00207,2025-07-01,Tuesday,11,C,Present,07:25,14:13,Face Recognition,,0
ATT0000194,STU00208,2025-07-01,Tuesday,5,C,Present,07:37,13:17,Biometric,,0
ATT0000195,STU00209,2025-07-01,Tuesday,2,C,Present,07:19,13:50,Biometric,,0
ATT0000196,STU00210,2025-07-01,Tuesday,5,B,Present,07:32,14:54,RFID,C6043D27EAC2,0
ATT0000197,STU00211,2025-07-01,Tuesday,9,B,Present,07:19,15:51,RFID,9440C571D99A,0
ATT0000198,STU00212,2025-07-01,Tuesday,10,A,Present,07:15,13:59,Face Recognition,,0
ATT0000199,STU00213,2025-07-01,Tuesday,1,A,Present,07:22,14:58,Biometric,,0
ATT0000200,STU00214,2025-07-01,Tuesday,3,A,Present,07:12,14:23,Biometric,,0
ATT0000201,STU00215,2025-07-01,Tuesday,10,D,Present,07:24,14:38,RFID,6CAAA3761E71,0
ATT0000202,STU00216,2025-07-01,Tuesday,9,D,Present,07:17,14:01,RFID,D348D4406C87,0
ATT0000203,STU00218,2025-07-01,Tuesday,11,D,Present,07:45,14:48,RFID,B751AD6A288F,0
ATT0000204,STU00219,2025-07-01,Tuesday,9,A,Present,07:23,15:44,Biometric,,0
ATT0000205,STU00220,2025-07-01,Tuesday,9,A,Present,07:28,15:41,RFID,2B47E9EF6B62,0
ATT0000206,STU00221,2025-07-01,Tuesday,3,B,Present,07:24,13:16,Biometric,,0
ATT0000207,STU00222,2025-07-01,Tuesday,2,A,Present,07:16,14:25,Face Recognition,,0
ATT0000208,STU00223,2025-07-01,Tuesday,7,A,Present,07:19,13:38,Face Recognition,,0
ATT0000209,STU00225,2025-07-01,Tuesday,7,A,Late,08:29,13:24,Face Recognition,,0
ATT0000210,STU00226,2025-07-01,Tuesday,2,A,Present,07:15,13:42,Biometric,,0
ATT0000211,STU00227,2025-07-01,Tuesday,1,A,Present,07:30,14:04,Face Recognition,,0
ATT0000212,STU00228,2025-07-01,Tuesday,12,D,Present,07:45,14:49,Biometric,,0
ATT0000213,STU00229,2025-07-01,Tuesday,6,C,Present,07:15,13:54,RFID,B0CB39621BE9,0
ATT0000214,STU00230,2025-07-01,Tuesday,2,A,Present,07:45,15:48,RFID,727CE1DCBEA5,0
ATT0000215,STU00231,2025-07-01,Tuesday,8,D,Absent,,,,,0
ATT0000216,STU00232,2025-07-01,Tuesday,10,A,Present,07:13,15:56,Face Recognition,,0
ATT0000217,STU00234,2025-07-01,Tuesday,9,C,Present,07:35,13:43,Face Recognition,,0
ATT0000218,STU00235,2025-07-01,Tuesday,6,C,Present,07:26,15:07,RFID,48416D56F5CE,0
ATT0000219,STU00236,2025-07-01,Tuesday,11,B,Present,07:39,13:40,Face Recognition,,0
ATT0000220,STU00237,2025-07-01,Tuesday,1,A,Present,07:33,15:26,RFID,43B09EC20367,0
ATT0000221,STU00238,2025-07-01,Tuesday,8,B,Present,07:14,15:35,RFID,08FB98FD9D1F,0
ATT0000222,STU00239,2025-07-01,Tuesday,9,A,Present,07:36,13:33,Biometric,,0
ATT0000223,STU00240,2025-07-01,Tuesday,7,B,Present,07:28,14:04,Biometric,,0
ATT0000224,STU00241,2025-07-01,Tuesday,7,A,Present,07:24,13:12,RFID,C4D7E5B3A6A2,0
ATT0000225,STU00242,2025-07-01,Tuesday,11,C,Absent,,,,,0
ATT0000226,STU00243,2025-07-01,Tuesday,8,B,Present,07:25,13:20,Face Recognition,,0
ATT0000227,STU00244,2025-07-01,Tuesday,10,C,Present,07:14,14:27,RFID,8AF51B1166B4,0
ATT0000228,STU00245,2025-07-01,Tuesday,3,B,Absent,,,,,0
ATT0000229,STU00246,2025-07-01,Tuesday,11,A,Present,07:14,15:14,Biometric,,0
ATT0000230,STU00247,2025-07-01,Tuesday,1,C,Absent,,,,,0
ATT0000231,STU00248,2025-07-01,Tuesday,2,C,Absent,,,,,0
ATT0000232,STU00249,2025-07-01,Tuesday,11,D,Present,07:35,13:11,RFID,5F4FDFD32467,0
ATT0000233,STU00250,2025-07-01,Tuesday,7,C,Present,07:39,15:54,Biometric,,0
ATT0000234,STU00251,2025-07-01,Tuesday,10,A,Present,07:20,14:11,Face Recognition,,0
ATT0000235,STU00253,2025-07-01,Tuesday,1,C,Present,07:26,15:33,RFID,D814522167EF,0
ATT0000236,STU00254,2025-07-01,Tuesday,12,D,Medical Leave,,,,,0
ATT0000237,STU00255,2025-07-01,Tuesday,5,C,Present,07:37,15:34,RFID,BDAA2EB1121C,0
ATT0000238,STU00256,2025-07-01,Tuesday,12,B,Late,08:25,13:14,RFID,49B56B593AC0,0
ATT0000239,STU00257,2025-07-01,Tuesday,10,B,Late,08:17,14:30,RFID,2CC47B134776,0
ATT0000240,STU00258,2025-07-01,Tuesday,5,A,Present,07:32,15:50,Biometric,,0
ATT0000241,STU00259,2025-07-01,Tuesday,3,A,Authorized Leave,,,,,0
ATT0000242,STU00260,2025-07-01,Tuesday,4,B,Present,07:20,15:30,Face Recognition,,0
ATT0000243,STU00261,2025-07-01,Tuesday,2,B,Present,07:32,15:09,RFID,A595AF00E7E1,0
ATT0000244,STU00262,2025-07-01,Tuesday,2,A,Present,07:34,14:10,RFID,D33F49637701,0
ATT0000245,STU00263,2025-07-01,Tuesday,10,B,Present,07:35,13:13,RFID,856692688580,0
ATT0000246,STU00264,2025-07-01,Tuesday,12,D,Late,08:25,13:11,Biometric,,0
ATT0000247,STU00266,2025-07-01,Tuesday,9,D,Present,07:41,13:46,RFID,2D28984B683F,0
ATT0000248,STU00267,2025-07-01,Tuesday,11,D,Present,07:22,14:31,Face Recognition,,0
ATT0000249,STU00268,2025-07-01,Tuesday,5,C,Late,08:30,15:52,RFID,CE0D800F1A7D,0
ATT0000250,STU00269,2025-07-01,Tuesday,8,D,Present,07:27,13:04,RFID,AD067BAA568B,0
ATT0000251,STU00270,2025-07-01,Tuesday,7,C,Present,07:35,14:00,RFID,4394363705E3,0
ATT0000252,STU00271,2025-07-01,Tuesday,2,A,Present,07:19,14:41,RFID,9A3F27E6992E,0
ATT0000253,STU00272,2025-07-01,Tuesday,7,A,Present,07:33,14:46,Face Recognition,,0
ATT0000254,STU00273,2025-07-01,Tuesday,2,C,Present,07:11,15:02,RFID,29D4173272F6,0
ATT0000255,STU00274,2025-07-01,Tuesday,1,C,Present,07:12,15:44,RFID,E3162A22EA0B,0
ATT0000256,STU00275,2025-07-01,Tuesday,1,A,Absent,,,,,0
ATT0000257,STU00276,2025-07-01,Tuesday,6,D,Absent,,,,,0
ATT0000258,STU00277,2025-07-01,Tuesday,5,C,Present,07:24,13:51,RFID,1A7ADDCE01F7,0
ATT0000259,STU00278,2025-07-01,Tuesday,4,B,Absent,,,,,0
ATT0000260,STU00279,2025-07-01,Tuesday,9,D,Present,07:22,15:28,RFID,96D9E6B6F678,0
ATT0000261,STU00280,2025-07-01,Tuesday,7,D,Present,07:32,14:34,RFID,24433BD7E3AC,0
ATT0000262,STU00281,2025-07-01,Tuesday,11,C,Present,07:40,13:39,RFID,19487E29609F,0
ATT0000263,STU00282,2025-07-01,Tuesday,9,C,Present,07:28,14:16,Face Recognition,,0
ATT0000264,STU00283,2025-07-01,Tuesday,12,B,Present,07:20,15:27,Biometric,,0
ATT0000265,STU00284,2025-07-01,Tuesday,9,D,Present,07:35,13:39,Biometric,,0
ATT0000266,STU00286,2025-07-01,Tuesday,6,A,Present,07:31,15:01,RFID,4EA0568AD180,0
ATT0000267,STU00287,2025-07-01,Tuesday,9,A,Late,08:03,15:19,Biometric,,0
ATT0000268,STU00288,2025-07-01,Tuesday,4,A,Present,07:18,13:13,Biometric,,0
ATT0000269,STU00289,2025-07-01,Tuesday,1,C,Late,08:14,13:08,RFID,0A6E4E4DD6CE,0
ATT0000270,STU00290,2025-07-01,Tuesday,9,A,Present,07:43,15:57,RFID,A9A0F7495DE7,0
ATT0000271,STU00292,2025-07-01,Tuesday,8,C,Present,07:19,15:17,RFID,235AE710AEE8,0
ATT0000272,STU00293,2025-07-01,Tuesday,6,B,Present,07:23,14:49,Biometric,,0
