record_id,student_id,class,section,subject,exam_type,academic_year,max_marks,marks_obtained,percentage,grade,teacher_id,remarks
REC0000086,STU00007,7,C,Mathematics,Mid Term,2025-26,100,67,67.0,B,TCH0058,
REC0000087,STU00007,7,C,Science,Mid Term,2025-26,100,70,70.0,B+,TCH0009,Average
REC0000088,STU00007,7,C,Social Studies,Mid Term,2025-26,100,59,59.0,C,TCH0080,Good
REC0000089,STU00007,7,C,Computer Science,Mid Term,2025-26,100,49,49.0,D,TCH0035,Needs improvement
REC0000090,STU00007,7,C,Physical Education,Mid Term,2025-26,100,40,40.0,D,TCH0059,
REC0000091,STU00008,7,B,English,Unit Test 1,2025-26,50,27,54.0,C,TCH0004,Good
REC0000092,STU00008,7,B,Hindi,Unit Test 1,2025-26,50,39,78.0,B+,TCH0053,Good
REC0000093,STU00008,7,B,Mathematics,Unit Test 1,2025-26,50,39,78.0,B+,TCH0002,Retest required
REC0000094,STU00008,7,B,Science,Unit Test 1,2025-26,50,35,70.0,B+,TCH0030,Retest required
REC0000095,STU00008,7,B,Social Studies,Unit Test 1,2025-26,50,30,60.0,B,TCH0038,Good
REC0000096,STU00008,7,B,Computer Science,Unit Test 1,2025-26,50,27,54.0,C,TCH0004,Good
REC0000097,STU00008,7,B,Physical Education,Unit Test 1,2025-26,50,31,62.0,B,TCH0050,Retest required
REC0000098,STU00008,7,B,English,Unit Test 3,2025-26,50,33,66.0,B,TCH0073,Absent for exam
REC0000099,STU00008,7,B,Hindi,Unit Test 3,2025-26,50,33,66.0,B,TCH0054,Average
REC0000100,STU00008,7,B,Mathematics,Unit Test 3,2025-26,50,29,58.0,C,TCH0027,Excellent
REC0000101,STU00008,7,B,Science,Unit Test 3,2025-26,50,28,56.0,C,TCH0030,Good
REC0000102,STU00008,7,B,Social Studies,Unit Test 3,2025-26,50,32,64.0,B,TCH0008,Needs improvement
REC0000103,STU00008,7,B,Computer Science,Unit Test 3,2025-26,50,39,78.0,B+,TCH0062,Excellent
REC0000104,STU00008,7,B,Physical Education,Unit Test 3,2025-26,50,26,52.0,C,TCH0030,Retest required
REC0000105,STU00009,9,A,English,Unit Test 3,2025-26,50,45,90.0,A+,TCH0048,Needs improvement
REC0000106,STU00009,9,A,Hindi,Unit Test 3,2025-26,50,41,82.0,A,TCH0058,Absent for exam
REC0000107,STU00009,9,A,Mathematics,Unit Test 3,2025-26,50,46,92.0,A+,TCH0025,Excellent
REC0000108,STU00009,9,A,Science,Unit Test 3,2025-26,50,38,76.0,B+,TCH0040,
REC0000109,STU00009,9,A,Social Studies,Unit Test 3,2025-26,50,37,74.0,B+,TCH0038,Average
REC0000110,STU00009,9,A,Computer Science,Unit Test 3,2025-26,50,36,72.0,B+,TCH0015,Needs improvement
REC0000111,STU00009,9,A,Physical Education,Unit Test 3,2025-26,50,41,82.0,A,TCH0007,Retest required
REC0000112,STU00009,9,A,English,Unit Test 4,2025-26,50,42,84.0,A,TCH0024,Average
REC0000113,STU00009,9,A,Hindi,Unit Test 4,2025-26,50,50,100.0,A+,TCH0047,Absent for exam
REC0000114,STU00009,9,A,Mathematics,Unit Test 4,2025-26,50,30,60.0,B,TCH0069,Good
REC0000115,STU00009,9,A,Science,Unit Test 4,2025-26,50,37,74.0,B+,TCH0018,Good
REC0000116,STU00009,9,A,Social Studies,Unit Test 4,2025-26,50,34,68.0,B,TCH0061,Excellent
REC0000117,STU00009,9,A,Computer Science,Unit Test 4,2025-26,50,27,54.0,C,TCH0076,Average
REC0000118,STU00009,9,A,Physical Education,Unit Test 4,2025-26,50,48,96.0,A+,TCH0069,Average
REC0000119,STU00010,10,D,English,Mid Term,2025-26,100,69,69.0,B,TCH0018,
REC0000120,STU00010,10,D,Hindi,Mid Term,2025-26,100,57,57.0,C,TCH0013,Retest required
REC0000121,STU00010,10,D,Mathematics,Mid Term,2025-26,100,88,88.0,A,TCH0079,Good
REC0000122,STU00010,10,D,Science,Mid Term,2025-26,100,75,75.0,B+,TCH0014,
REC0000123,STU00010,10,D,Social Studies,Mid Term,2025-26,100,74,74.0,B+,TCH0057,Retest required
REC0000124,STU00010,10,D,Computer Science,Mid Term,2025-26,100,84,84.0,A,TCH0009,Retest required
REC0000125,STU00010,10,D,Physical Education,Mid Term,2025-26,100,69,69.0,B,TCH0047,Retest required
REC0000126,STU00010,10,D,English,Unit Test 1,2025-26,50,40,80.0,A,TCH0002,
REC0000127,STU00010,10,D,Hindi,Unit Test 1,2025-26,50,40,80.0,A,TCH0065,Absent for exam
REC0000128,STU00010,10,D,Mathematics,Unit Test 1,2025-26,50,39,78.0,B+,TCH0035,Absent for exam
REC0000129,STU00010,10,D,Science,Unit Test 1,2025-26,50,39,78.0,B+,TCH0010,Needs improvement
REC0000130,STU00010,10,D,Social Studies,Unit Test 1,2025-26,50,46,92.0,A+,TCH0067,Excellent
REC0000131,STU00010,10,D,Computer Science,Unit Test 1,2025-26,50,37,74.0,B+,TCH0078,Needs improvement
REC0000132,STU00010,10,D,Physical Education,Unit Test 1,2025-26,50,40,80.0,A,TCH0073,Retest required
REC0000133,STU00011,2,A,English,Unit Test 3,2025-26,50,19,38.0,D,TCH0016,Excellent
REC0000134,STU00011,2,A,Hindi,Unit Test 3,2025-26,50,14,28.0,F,TCH0035,Needs improvement
REC0000135,STU00011,2,A,Mathematics,Unit Test 3,2025-26,50,4,8.0,F,TCH0056,Absent for exam
REC0000136,STU00011,2,A,Science,Unit Test 3,2025-26,50,10,20.0,F,TCH0057,Average
REC0000137,STU00011,2,A,Social Studies,Unit Test 3,2025-26,50,14,28.0,F,TCH0073,Needs improvement
REC0000138,STU00011,2,A,Computer Science,Unit Test 3,2025-26,50,5,10.0,F,TCH0041,Average
REC0000139,STU00011,2,A,Physical Education,Unit Test 3,2025-26,50,15,30.0,F,TCH0010,Excellent
REC0000140,STU00011,2,A,English,Unit Test 4,2025-26,50,7,14.0,F,TCH0004,Needs improvement
REC0000141,STU00011,2,A,Hindi,Unit Test 4,2025-26,50,8,16.0,F,TCH0079,Excellent
REC0000142,STU00011,2,A,Mathematics,Unit Test 4,2025-26,50,15,30.0,F,TCH0069,Absent for exam
REC0000143,STU00011,2,A,Science,Unit Test 4,2025-26,50,9,18.0,F,TCH0061,Needs improvement
REC0000144,STU00011,2,A,Social Studies,Unit Test 4,2025-26,50,12,24.0,F,TCH0078,Good
REC0000145,STU00011,2,A,Computer Science,Unit Test 4,2025-26,50,13,26.0,F,TCH0026,Absent for exam
REC0000146,STU00011,2,A,Physical Education,Unit Test 4,2025-26,50,6,12.0,F,TCH0014,
REC0000147,STU00012,9,B,English,Unit Test 4,2025-26,50,25,50.0,C,TCH0015,Retest required
REC0000148,STU00012,9,B,Hindi,Unit Test 4,2025-26,50,26,52.0,C,TCH0064,Excellent
REC0000149,STU00012,9,B,Mathematics,Unit Test 4,2025-26,50,31,62.0,B,TCH0016,Needs improvement
REC0000150,STU00012,9,B,Science,Unit Test 4,2025-26,50,28,56.0,C,TCH0009,
REC0000151,STU00012,9,B,Social Studies,Unit Test 4,2025-26,50,26,52.0,C,TCH0037,Retest required
REC0000152,STU00012,9,B,Computer Science,Unit Test 4,2025-26,50,33,66.0,B,TCH0080,Retest required
REC0000153,STU00012,9,B,Physical Education,Unit Test 4,2025-26,50,32,64.0,B,TCH0073,Average
REC0000154,STU00012,9,B,English,Unit Test 1,2025-26,50,32,64.0,B,TCH0013,Retest required
REC0000155,STU00012,9,B,Hindi,Unit Test 1,2025-26,50,29,58.0,C,TCH0018,Absent for exam
REC0000156,STU00012,9,B,Mathematics,Unit Test 1,2025-26,50,24,48.0,D,TCH0030,Absent for exam
REC0000157,STU00012,9,B,Science,Unit Test 1,2025-26,50,24,48.0,D,TCH0047,Absent for exam
REC0000158,STU00012,9,B,Social Studies,Unit Test 1,2025-26,50,30,60.0,B,TCH0056,Average
REC0000159,STU00012,9,B,Computer Science,Unit Test 1,2025-26,50,24,48.0,D,TCH0018,Average
REC0000160,STU00012,9,B,Physical Education,Unit Test 1,2025-26,50,22,44.0,D,TCH0031,Excellent
REC0000161,STU00013,6,B,English,Unit Test 4,2025-26,50,39,78.0,B+,TCH0075,
REC0000162,STU00013,6,B,Hindi,Unit Test 4,2025-26,50,29,58.0,C,TCH0074,Retest required
REC0000163,STU00013,6,B,Mathematics,Unit Test 4,2025-26,50,44,88.0,A,TCH0007,Good
REC0000164,STU00013,6,B,Science,Unit Test 4,2025-26,50,36,72.0,B+,TCH0031,Good
REC0000165,STU00013,6,B,Social Studies,Unit Test 4,2025-26,50,29,58.0,C,TCH0057,Good
REC0000166,STU00013,6,B,Computer Science,Unit Test 4,2025-26,50,36,72.0,B+,TCH0039,Retest required
REC0000167,STU00013,6,B,Physical Education,Unit Test 4,2025-26,50,35,70.0,B+,TCH0032,Retest required
REC0000168,STU00013,6,B,English,Unit Test 2,2025-26,50,34,68.0,B,TCH0048,Average
REC0000169,STU00013,6,B,Hindi,Unit Test 2,2025-26,50,38,76.0,B+,TCH0010,Good
REC0000170,STU00013,6,B,Mathematics,Unit Test 2,2025-26,50,41,82.0,A,TCH0048,Needs improvement
REC0000171,STU00013,6,B,Science,Unit Test 2,2025-26,50,38,76.0,B+,TCH0010,Retest required
REC0000172,STU00013,6,B,Social Studies,Unit Test 2,2025-26,50,35,70.0,B+,TCH0021,Average
REC0000173,STU00013,6,B,Computer Science,Unit Test 2,2025-26,50,47,94.0,A+,TCH0053,Absent for exam
REC0000174,STU00013,6,B,Physical Education,Unit Test 2,2025-26,50,41,82.0,A,TCH0052,
REC0000175,STU00014,12,B,Accountancy,Unit Test 1,2025-26,50,39,78.0,B+,TCH0016,Absent for exam
REC0000176,STU00014,12,B,Business Studies,Unit Test 1,2025-26,50,41,82.0,A,TCH0025,Good
REC0000177,STU00014,12,B,Economics,Unit Test 1,2025-26,50,34,68.0,B,TCH0014,Average
REC0000178,STU00014,12,B,Mathematics,Unit Test 1,2025-26,50,36,72.0,B+,TCH0051,Needs improvement
REC0000179,STU00014,12,B,Informatics Practices,Unit Test 1,2025-26,50,38,76.0,B+,TCH0046,
REC0000180,STU00014,12,B,Accountancy,Unit Test 4,2025-26,50,40,80.0,A,TCH0020,
REC0000181,STU00014,12,B,Business Studies,Unit Test 4,2025-26,50,42,84.0,A,TCH0045,Good
REC0000182,STU00014,12,B,Economics,Unit Test 4,2025-26,50,30,60.0,B,TCH0034,
REC0000183,STU00014,12,B,Mathematics,Unit Test 4,2025-26,50,38,76.0,B+,TCH0019,Absent for exam
REC0000184,STU00014,12,B,Informatics Practices,Unit Test 4,2025-26,50,46,92.0,A+,TCH0004,Retest required
REC0000185,STU00015,10,C,English,Final Exam,2025-26,100,71,71.0,B+,TCH0076,
REC0000186,STU00015,10,C,Hindi,Final Exam,2025-26,100,63,63.0,B,TCH0052,
REC0000187,STU00015,10,C,Mathematics,Final Exam,2025-26,100,45,45.0,D,TCH0038,Retest required
REC0000188,STU00015,10,C,Science,Final Exam,2025-26,100,64,64.0,B,TCH0007,
REC0000189,STU00015,10,C,Social Studies,Final Exam,2025-26,100,54,54.0,C,TCH0048,Absent for exam
REC0000190,STU00015,10,C,Computer Science,Final Exam,2025-26,100,59,59.0,C,TCH0075,Needs improvement
REC0000191,STU00015,10,C,Physical Education,Final Exam,2025-26,100,56,56.0,C,TCH0013,Needs improvement
REC0000192,STU00015,10,C,English,Mid Term,2025-26,100,54,54.0,C,TCH0003,Absent for exam
REC0000193,STU00015,10,C,Hindi,Mid Term,2025-26,100,68,68.0,B,TCH0070,Retest required
REC0000194,STU00015,10,C,Mathematics,Mid Term,2025-26,100,41,41.0,D,TCH0060,Needs improvement
REC0000195,STU00015,10,C,Science,Mid Term,2025-26,100,52,52.0,C,TCH0041,Good
REC0000196,STU00015,10,C,Social Studies,Mid Term,2025-26,100,64,64.0,B,TCH0016,Good
REC0000197,STU00015,10,C,Computer Science,Mid Term,2025-26,100,79,79.0,B+,TCH0062,Retest required
REC0000198,STU00015,10,C,Physical Education,Mid Term,2025-26,100,51,51.0,C,TCH0017,Excellent
REC0000199,STU00016,9,C,English,Final Exam,2025-26,100,73,73.0,B+,TCH0003,Absent for exam
REC0000200,STU00016,9,C,Hindi,Final Exam,2025-26,100,53,53.0,C,TCH0028,Good
REC0000201,STU00016,9,C,Mathematics,Final Exam,2025-26,100,62,62.0,B,TCH0054,Average
REC0000202,STU00016,9,C,Science,Final Exam,2025-26,100,53,53.0,C,TCH0006,Needs improvement
REC0000203,STU00016,9,C,Social Studies,Final Exam,2025-26,100,55,55.0,C,TCH0056,Average
REC0000204,STU00016,9,C,Computer Science,Final Exam,2025-26,100,57,57.0,C,TCH0005,Good
REC0000205,STU00016,9,C,Physical Education,Final Exam,2025-26,100,52,52.0,C,TCH0005,Absent for exam
REC0000206,STU00016,9,C,English,Mid Term,2025-26,100,76,76.0,B+,TCH0007,Average
REC0000207,STU00016,9,C,Hindi,Mid Term,2025-26,100,62,62.0,B,TCH0025,Average
REC0000208,STU00016,9,C,Mathematics,Mid Term,2025-26,100,58,58.0,C,TCH0044,Excellent
REC0000209,STU00016,9,C,Science,Mid Term,2025-26,100,62,62.0,B,TCH0004,Excellent
REC0000210,STU00016,9,C,Social Studies,Mid Term,2025-26,100,57,57.0,C,TCH0053,Retest required
REC0000211,STU00016,9,C,Computer Science,Mid Term,2025-26,100,61,61.0,B,TCH0023,
REC0000212,STU00016,9,C,Physical Education,Mid Term,2025-26,100,69,69.0,B,TCH0054,
REC0000213,STU00017,12,B,History,Unit Test 1,2025-26,50,33,66.0,B,TCH0062,Good
REC0000214,STU00017,12,B,Political Science,Unit Test 1,2025-26,50,25,50.0,C,TCH0064,Needs improvement
REC0000215,STU00017,12,B,Geography,Unit Test 1,2025-26,50,28,56.0,C,TCH0004,Good
REC0000216,STU00017,12,B,Economics,Unit Test 1,2025-26,50,23,46.0,D,TCH0053,Absent for exam
REC0000217,STU00017,12,B,Sociology,Unit Test 1,2025-26,50,30,60.0,B,TCH0005,Excellent
REC0000218,STU00017,12,B,History,Unit Test 3,2025-26,50,33,66.0,B,TCH0043,Excellent
REC0000219,STU00017,12,B,Political Science,Unit Test 3,2025-26,50,30,60.0,B,TCH0060,Absent for exam
REC0000220,STU00017,12,B,Geography,Unit Test 3,2025-26,50,27,54.0,C,TCH0008,Needs improvement
REC0000221,STU00017,12,B,Economics,Unit Test 3,2025-26,50,20,40.0,D,TCH0046,Average
REC0000222,STU00017,12,B,Sociology,Unit Test 3,2025-26,50,32,64.0,B,TCH0012,Excellent
REC0000223,STU00018,3,C,English,Unit Test 2,2025-26,50,42,84.0,A,TCH0029,Needs improvement
REC0000224,STU00018,3,C,Hindi,Unit Test 2,2025-26,50,45,90.0,A+,TCH0035,Average
REC0000225,STU00018,3,C,Mathematics,Unit Test 2,2025-26,50,37,74.0,B+,TCH0014,Good
REC0000226,STU00018,3,C,Science,Unit Test 2,2025-26,50,35,70.0,B+,TCH0080,
REC0000227,STU00018,3,C,Social Studies,Unit Test 2,2025-26,50,43,86.0,A,TCH0068,Needs improvement
REC0000228,STU00018,3,C,Computer Science,Unit Test 2,2025-26,50,43,86.0,A,TCH0034,
REC0000229,STU00018,3,C,Physical Education,Unit Test 2,2025-26,50,35,70.0,B+,TCH0055,
REC0000230,STU00018,3,C,English,Unit Test 3,2025-26,50,50,100.0,A+,TCH0047,Retest required
REC0000231,STU00018,3,C,Hindi,Unit Test 3,2025-26,50,33,66.0,B,TCH0079,Average
REC0000232,STU00018,3,C,Mathematics,Unit Test 3,2025-26,50,41,82.0,A,TCH0002,Excellent
REC0000233,STU00018,3,C,Science,Unit Test 3,2025-26,50,43,86.0,A,TCH0060,Absent for exam
REC0000234,STU00018,3,C,Social Studies,Unit Test 3,2025-26,50,36,72.0,B+,TCH0031,Needs improvement
REC0000235,STU00018,3,C,Computer Science,Unit Test 3,2025-26,50,34,68.0,B,TCH0055,Good
REC0000236,STU00018,3,C,Physical Education,Unit Test 3,2025-26,50,43,86.0,A,TCH0069,Average
REC0000237,STU00019,5,B,English,Unit Test 3,2025-26,50,25,50.0,C,TCH0064,Excellent
REC0000238,STU00019,5,B,Hindi,Unit Test 3,2025-26,50,28,56.0,C,TCH0043,Needs improvement
REC0000239,STU00019,5,B,Mathematics,Unit Test 3,2025-26,50,41,82.0,A,TCH0072,Excellent
REC0000240,STU00019,5,B,Science,Unit Test 3,2025-26,50,32,64.0,B,TCH0009,Good
REC0000241,STU00019,5,B,Social Studies,Unit Test 3,2025-26,50,28,56.0,C,TCH0014,Average
REC0000242,STU00019,5,B,Computer Science,Unit Test 3,2025-26,50,26,52.0,C,TCH0066,
REC0000243,STU00019,5,B,Physical Education,Unit Test 3,2025-26,50,30,60.0,B,TCH0038,Absent for exam
REC0000244,STU00019,5,B,English,Mid Term,2025-26,100,51,51.0,C,TCH0062,
REC0000245,STU00019,5,B,Hindi,Mid Term,2025-26,100,55,55.0,C,TCH0056,Needs improvement
REC0000246,STU00019,5,B,Mathematics,Mid Term,2025-26,100,69,69.0,B,TCH0027,Average
REC0000247,STU00019,5,B,Science,Mid Term,2025-26,100,61,61.0,B,TCH0014,Needs improvement
REC0000248,STU00019,5,B,Social Studies,Mid Term,2025-26,100,68,68.0,B,TCH0061,
REC0000249,STU00019,5,B,Computer Science,Mid Term,2025-26,100,69,69.0,B,TCH0054,Needs improvement
REC0000250,STU00019,5,B,Physical Education,Mid Term,2025-26,100,65,65.0,B,TCH0025,Excellent
REC0000251,STU00020,8,A,English,Final Exam,2025-26,100,45,45.0,D,TCH0017,
REC0000252,STU00020,8,A,Hindi,Final Exam,2025-26,100,47,47.0,D,TCH0013,Good
REC0000253,STU00020,8,A,Mathematics,Final Exam,2025-26,100,35,35.0,D,TCH0030,Absent for exam
REC0000254,STU00020,8,A,Science,Final Exam,2025-26,100,37,37.0,D,TCH0011,Retest required
REC0000255,STU00020,8,A,Social Studies,Final Exam,2025-26,100,23,23.0,F,TCH0078,Absent for exam
REC0000256,STU00020,8,A,Computer Science,Final Exam,2025-26,100,53,53.0,C,TCH0074,Absent for exam
REC0000257,STU00020,8,A,Physical Education,Final Exam,2025-26,100,35,35.0,D,TCH0005,Average
REC0000258,STU00020,8,A,English,Unit Test 3,2025-26,50,19,38.0,D,TCH0041,Average
REC0000259,STU00020,8,A,Hindi,Unit Test 3,2025-26,50,18,36.0,D,TCH0023,Average
REC0000260,STU00020,8,A,Mathematics,Unit Test 3,2025-26,50,19,38.0,D,TCH0014,Retest required
REC0000261,STU00020,8,A,Science,Unit Test 3,2025-26,50,19,38.0,D,TCH0031,Retest required
